patch code Y x y
a1 0 1394 0.3577 0.3236
a2 0 1383 0.3987 0.3139
a3 0 1375 0.4318 0.309
a4 0 1440 0.4377 0.3065
a5 0 3701 0.3699 0.3303
a6 0 3739 0.4135 0.324
a7 0 3682 0.4555 0.3156
a8 0 3643 0.5014 0.305
a9 0 11980 0.3462 0.3412
a10 0 12000 0.3598 0.3396
a11 0 11930 0.3745 0.3384
a12 0 11940 0.3858 0.3364
a13 0 22170 0.3276 0.343
a14 0 21480 0.3328 0.3383
a15 0 22590 0.3322 0.3445
a16 0 21970 0.3312 0.3412
a17 0 22410 0.3331 0.3447
a18 0 22510 0.3319 0.3445
a19 0 20830 0.3269 0.3374
a20 0 603.3 0.3523 0.3137
a21 0 1221 0.4811 0.3383
a22 0 1944 0.5415 0.3411
b1 0 1371 0.3627 0.3384
b2 0 1361 0.4047 0.3407
b3 0 1371 0.4401 0.3391
b4 0 1421 0.4509 0.3391
b5 0 3702 0.3937 0.3524
b6 0 3677 0.4475 0.3569
b7 0 3623 0.5041 0.3559
b8 0 3593 0.5541 0.3465
b9 0 11930 0.3501 0.3476
b10 0 11880 0.3708 0.3529
b11 0 11850 0.3897 0.3576
b12 0 11830 0.4063 0.3612
b13 0 20630 0.3169 0.3402
b14 0 19710 0.3342 0.3298
b15 0 21530 0.3455 0.3607
b16 0 17390 0.332 0.3424
b17 0 18730 0.3482 0.3452
b18 0 19850 0.3301 0.3585
b19 0 17940 0.3187 0.326
b20 0 827.4 0.428 0.3363
b21 0 1644 0.5341 0.3423
b22 0 7262 0.4201 0.3652
c1 0 1735 0.3613 0.3545
c2 0 1376 0.43 0.3891
c3 0 1511 0.4475 0.3933
c4 0 1551 0.4641 0.4039
c5 0 6531 0.397 0.3806
c6 0 6614 0.4533 0.4088
c7 0 6565 0.503 0.4232
c8 0 6639 0.518 0.4227
c9 0 13670 0.3548 0.3576
c10 0 13630 0.3768 0.3719
c11 0 13630 0.3997 0.3859
c12 0 13490 0.4169 0.3947
c13 0 18770 0.3038 0.3362
c14 0 17160 0.3367 0.3184
c15 0 20210 0.3596 0.3772
c16 0 13530 0.3336 0.3441
c17 0 15670 0.3647 0.3484
c18 0 17140 0.3293 0.3733
c19 0 14530 0.3068 0.3103
c20 0 609.9 0.3873 0.3382
c21 0 5060 0.483 0.3779
c22 0 8963 0.3958 0.3651
d1 0 1667 0.3513 0.3627
d2 0 1660 0.3677 0.3857
d3 0 1675 0.3835 0.4044
d4 0 1867 0.3899 0.4109
d5 0 8170 0.3713 0.3863
d6 0 8131 0.4069 0.4279
d7 0 8071 0.4348 0.4629
d8 0 8020 0.4517 0.4838
d9 0 15560 0.3493 0.3618
d10 0 15600 0.3663 0.3821
d11 0 15420 0.3827 0.4008
d12 0 15350 0.4225 0.4482
d13 0 16920 0.2899 0.3312
d14 0 14680 0.3392 0.3046
d15 0 19210 0.3744 0.393
d16 0 10330 0.3345 0.3433
d17 0 12970 0.3832 0.3501
d18 0 14900 0.3275 0.3884
d19 0 11540 0.2937 0.2915
d20 0 3076 0.4835 0.3788
d21 0 5944 0.3823 0.3707
d22 0 10140 0.3884 0.3737
e1 0 1544 0.338 0.3708
e2 0 1546 0.3438 0.404
e3 0 1565 0.3472 0.4307
