patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,11920.0,18922.0,12448.0,0,0,0,3.6,3.01,2.05
a2,10083.0,22977.0,13159.0,0,0,0,4.42,2.97,1.76
a3,9145.0,27492.0,14456.0,0,0,0,5.12,3.01,1.46
a4,8930.0,27984.0,14406.0,0,0,0,5.65,3.26,1.6
a5,7254.0,9110.0,6570.0,0,0,0,12.71,10.97,7.93
a6,6245.0,10533.0,7118.0,0,0,0,15.07,11.1,6.97
a7,5716.0,12819.0,7810.0,0,0,0,17.42,11.1,6.06
a8,5498.0,17192.0,8777.0,0,0,0,20.36,11.07,5.12
a9,5091.0,3898.0,3205.0,0,0,0,40.62,39.94,31.49
a10,4789.0,3899.0,3191.0,0,0,0,42.88,40.04,30.47
a11,4515.0,3945.0,3255.0,0,0,0,45.09,40.03,29.12
a12,4370.0,4032.0,3319.0,0,0,0,46.77,39.85,28.06
a13,4183.0,2606.0,2025.0,0,0,0,71.78,75.46,63.09
a14,4082.0,2601.0,2002.0,0,0,0,71.91,73.14,62.17
a15,4056.0,2537.0,1971.0,0,0,0,74.11,76.98,63.06
a16,4106.0,2576.0,1988.0,0,0,0,72.73,75.12,62.6
a17,4063.0,2515.0,1955.0,0,0,0,74.05,76.81,62.33
a18,4029.0,2471.0,1895.0,0,0,0,74.16,77.19,62.97
a19,4099.0,2500.0,1810.0,0,0,0,69.16,71.7,62.05
a20,17001.0,29326.0,19448.0,0,0,0,1.37,1.12,0.78
a21,9203.0,28093.0,20481.0,0,0,0,5.17,3.27,0.85
a22,7087.0,26779.0,20750.0,0,0,0,10.35,5.9,0.91
b1,12421.0,19429.0,14145.0,0,0,0,3.35,2.93,1.63
b2,10910.0,23591.0,17361.0,0,0,0,3.98,2.94,1.07
b3,9869.0,27808.0,20386.0,0,0,0,4.71,3.09,0.74
b4,9721.0,29473.0,21910.0,0,0,0,5.08,3.21,0.69
b5,7100.0,9730.0,8386.0,0,0,0,12.86,11.1,5.86
b6,6320.0,11705.0,10844.0,0,0,0,14.66,11.01,3.94
b7,5917.0,15238.0,14704.0,0,0,0,16.97,10.94,2.28
b8,5923.0,20962.0,19495.0,0,0,0,19.7,11.01,1.2
b9,5079.0,3919.0,3300.0,0,0,0,40.39,40.01,29.68
b10,4800.0,4068.0,3632.0,0,0,0,42.59,40.11,26.44
b11,4548.0,4174.0,3898.0,0,0,0,44.29,39.94,23.52
b12,4422.0,4332.0,4222.0,0,0,0,45.98,39.89,21.17
b13,4418.0,2656.0,2003.0,0,0,0,65.55,71.21,61.79
b14,4116.0,2695.0,2014.0,0,0,0,68.8,67.99,60.07
b15,4099.0,2677.0,2271.0,0,0,0,71.26,74.48,51.88
b16,4443.0,2875.0,2247.0,0,0,0,57.82,60.0,49.14
b17,4090.0,2771.0,2213.0,0,0,0,65.61,64.93,49.68
b18,4352.0,2667.0,2166.0,0,0,0,62.84,68.83,51.29
b19,4313.0,2638.0,1821.0,0,0,0,60.77,62.73,59.44
b20,12324.0,28845.0,20810.0,0,0,0,2.87,2.06,0.8
b21,7618.0,28390.0,21398.0,0,0,0,8.37,4.88,0.88
b22,4894.0,5614.0,5366.0,0,0,0,29.02,24.67,11.91
c1,11534.0,15379.0,12619.0,0,0,0,4.49,4.31,2.29
c2,10841.0,17779.0,16847.0,0,0,0,4.9,4.37,1.42
c3,10474.0,20553.0,22554.0,0,0,0,5.13,4.3,0.82
c4,10246.0,20619.0,24094.0,0,0,0,5.7,4.77,0.85
c5,5794.0,5898.0,5991.0,0,0,0,23.78,22.59,10.89
c6,5444.0,7400.0,10273.0,0,0,0,25.55,22.41,5.5
c7,5454.0,10163.0,18476.0,0,0,0,27.72,22.42,2.39
c8,5731.0,12985.0,26877.0,0,0,0,28.7,22.23,1.28
c9,4821.0,3613.0,3176.0,0,0,0,46.89,47.28,32.4
c10,4636.0,3797.0,3708.0,0,0,0,48.17,47.13,26.63
c11,4479.0,4008.0,4368.0,0,0,0,49.81,47.42,21.58
c12,4379.0,4230.0,4990.0,0,0,0,50.47,46.85,18.1
c13,4780.0,2726.0,1988.0,0,0,0,58.24,65.94,60.94
c14,4155.0,2849.0,2038.0,0,0,0,64.18,60.73,57.45
c15,4137.0,2829.0,2619.0,0,0,0,68.73,71.96,42.7
c16,4819.0,3231.0,2546.0,0,0,0,45.88,47.73,38.75
c17,4165.0,3083.0,2563.0,0,0,0,58.66,55.64,39.4
c18,4722.0,2887.0,2496.0,0,0,0,53.28,61.12,41.61
c19,4681.0,2841.0,1837.0,0,0,0,50.72,52.04,56.28
c20,16342.0,29122.0,21404.0,0,0,0,1.7,1.45,0.76
c21,5164.0,8904.0,10332.0,0,0,0,22.87,17.19,4.72
c22,4723.0,4439.0,4075.0,0,0,0,34.53,31.48,17.4
d1,12569.0,15135.0,12982.0,0,0,0,4.16,4.32,2.27
d2,12733.0,16538.0,17082.0,0,0,0,4.07,4.26,1.47
d3,13031.0,18670.0,23389.0,0,0,0,4.08,4.3,0.89
d4,12479.0,18257.0,24620.0,0,0,0,4.69,4.91,0.92
d5,5840.0,4983.0,5110.0,0,0,0,26.68,27.74,13.94
d6,5802.0,5986.0,8477.0,0,0,0,26.33,27.41,7.43
d7,6093.0,8167.0,15680.0,0,0,0,26.1,27.43,3.6
d8,6796.0,12271.0,28623.0,0,0,0,25.91,27.31,1.65
d9,4685.0,3288.0,2881.0,0,0,0,53.02,55.12,37.61
d10,4602.0,3439.0,3396.0,0,0,0,52.96,55.14,30.47
d11,4556.0,3613.0,4008.0,0,0,0,52.49,54.62,24.44
d12,4616.0,4715.0,7539.0,0,0,0,52.17,54.65,11.69
d13,5224.0,2806.0,1961.0,0,0,0,51.28,60.55,59.94
d14,4202.0,3062.0,2071.0,0,0,0,58.99,52.82,54.44
d15,4151.0,2987.0,3032.0,0,0,0,66.07,69.08,34.69
d16,5316.0,3748.0,2977.0,0,0,0,35.35,36.71,29.94
