patch r g b
a1 2867 3312 2695
a2 2484 3855 2842
a3 2321 4577 3111
a4 2293 4672 3154
a5 1983 1732 1491
a6 1769 1834 1540
a7 1650 2050 1645
a8 1594 2575 1843
a9 1521 921 787
a10 1457 908 778
a11 1430 925 809
a12 1407 938 826
a13 1365 718 574
a14 1348 718 572
a15 1347 706 568
a16 1347 700 557
a17 1331 692 557
a18 1323 689 554
a19 1344 694 537
a20 3934 5509 4409
a21 2361 4753 4581
a22 1953 4285 4598
b1 2957 3462 3142
b2 2645 4061 3871
b3 2464 4752 4561
b4 2437 4977 4877
b5 1958 1863 1862
b6 1798 2104 2323
b7 1694 2550 3094
b8 1686 3351 4255
b9 1524 927 818
b10 1462 937 856
b11 1428 958 912
b12 1404 986 974
b13 1407 724 566
b14 1347 728 572
b15 1344 725 621
b16 1409 751 606
b17 1335 729 609
b18 1387 723 604
b19 1384 715 540
b20 2953 5184 4716
b21 2064 4581 4783
b22 1494 1184 1192
c1 2774 2796 2758
c2 2623 3171 3646
c3 2551 3657 4923
c4 2542 3752 5344
c5 1671 1279 1354
c6 1608 1582 2212
c7 1591 2120 3869
c8 1673 2779 5815
c9 1471 878 795
c10 1424 894 863
c11 1399 934 985
c12 1384 973 1100
c13 1471 739 567
c14 1352 744 569
c15 1333 740 666
c16 1474 809 663
c17 1337 769 660
c18 1448 758 657
c19 1458 754 548
c20 3798 5437 4913
c21 1556 1734 2196
c22 1449 997 938
d1 2973 2771 2815
d2 2986 3041 3686
d3 3036 3451 5013
d4 2957 3478 5357
d5 1664 1128 1160
d6 1668 1363 1866
d7 1701 1777 3182
d8 1846 2699 6014
d9 1438 821 734
d10 1409 831 798
d11 1412 876 924
d12 1420 1081 1544
d13 1551 753 561
d14 1363 773 576
d15 1333 764 733
d16 1568 897 738
d17 1341 828 734
d18 1526 805 724
d19 1546 802 549
d20 1801 2350 3053
d21 1681 1232 1218
d22 1419 916 856
e1 3228 2718 2776
e2 3504 2976 3717
e3 3802 3379 5082
e4 3800 3441 5402
e5 2183 1554 1621
e6 2324 1807 2446
e7 2562 2213 3720
e8 2934 2951 5930
e9 1584 937 848
e10 1591 957 933
e11 1615 986 1031
e12 1718 1147 1504
e13 1647 770 555
e14 1371 809 583
e15 1333 800 840
e16 1688 1008 838
e17 1354 916 847
e18 1629 869 829
e19 1661 868 555
e20 1639 2942 5691
e21 1733 2174 3371
e22 1472 1282 1562
f1 4765 3903 3544
f2 5615 3986 3988
f3 6297 4082 4497
f4 6449 4055 4616
f5 2997 1934 1838
f6 3720 2001 2069
f7 4793 2169 2397
f8 6166 2487 3014
f9 1604 912 786
f10 1648 919 800
f11 1701 921 814
f12 1882 944 850
f13 1797 803 555
f14 1383 862 596
f15 1336 857 995
f16 1862 1179 997
f17 1376 1042 1016
f18 1779 957 966
f19 1829 956 558
f20 1586 1188 1274
f21 1447 1154 1369
f22 1393 964 990
g1 4323 2982 2457
g2 5353 2932 2341
g3 6258 2900 2270
g4 6394 2856 2264
g5 2700 1583 1318
g6 3337 1578 1254
g7 4442 1641 1209
g8 6003 1784 1168
g9 1606 892 739
g10 1673 891 726
g11 1747 895 722
g12 2003 894 666
g13 1974 833 543
g14 1400 943 617
g15 1335 935 1210
g16 2072 1413 1204
g17 1395 1216 1237
g18 1975 1071 1164
g19 2063 1086 573
g20 1449 1020 1130
g21 1453 1168 1529
g22 1429 1985 4309
h1 4091 2880 2122
h2 4964 2755 1782
h3 6067 2712 1523
h4 6382 2601 1439
h5 2606 1549 1162
h6 3178 1480 966
h7 4244 1513 843
h8 5981 1654 754
h9 1603 878 697
h10 1650 865 660
h11 1722 863 637
h12 1954 852 551
h13 2241 883 542
h14 1427 1054 635
h15 1345 1040 1512
h16 2380 1746 1490
h17 1419 1459 1549
h18 2229 1210 1421
h19 2381 1248 574
h20 1418 956 1092
h21 1535 927 822
h22 1488 1045 1299
i1 3236 2361 1562
i2 3591 2207 1188
i3 4146 2116 960
i4 6202 2136 758
i5 2122 1363 1021
i6 2200 1301 858
i7 2299 1281 771
i8 2811 1240 604
i9 1558 875 696
i10 1556 849 648
i11 1579 848 629
i12 1605 822 564
i13 2600 943 539
i14 1436 1193 634
i15 1357 1182 1934
i16 2798 2242 1868
i17 1455 1814 1972
i18 2584 1400 1783
i19 2855 1492 586
i20 1433 916 1045
i21 2348 1829 2781
i22 1681 916 886
j1 3888 3652 2160
j2 3871 3532 1599
j3 4094 3329 1210
j4 6244 2928 773
j5 2193 1561 1147
j6 2166 1500 956
j7 2148 1444 809
j8 2175 1414 641
j9 1542 869 691
j10 1526 855 660
j11 1507 824 606
j12 1489 803 550
j13 3111 1015 533
j14 1466 1423 651
j15 1374 1430 2696
j16 3397 3055 2531
j17 1520 2416 2743
j18 3143 1720 2476
j19 3557 1834 602
j20 1675 865 761
j21 4514 2835 4861
j22 5629 4010 4649
k1 2652 2610 1688
k2 2353 2768 1338
k3 2145 3030 1125
k4 2095 3366 1104
k5 1895 1378 1021
k6 1787 1368 885
k7 1692 1367 778
k8 1557 1497 667
k9 1498 860 685
k10 1466 849 656
k11 1428 823 602
k12 1369 806 545
k13 3812 1108 514
k14 1511 1850 698
k15 1426 1874 4030
k16 4491 4619 3695
k17 1629 3492 3952
k18 4007 2217 3611
k19 4745 2428 658
k20 4289 3073 3072
k21 5400 3931 3318
k22 5215 3285 2155
l1 2911 3460 2505
l2 2535 3914 2328
l3 2301 4337 2174
l4 2245 4323 2094
l5 1930 1637 1263
l6 1750 1747 1186
l7 1623 1950 1100
l8 1554 2431 1060
l9 1474 858 686
l10 1428 852 683
l11 1384 836 647
l12 1337 823 615
l13 4732 1245 521
l14 1571 2543 769
l15 1550 2734 6632
l16 6112 7067 5612
l17 1845 5651 5886
l18 5358 3126 5765
l19 6234 3190 757
l20 5929 5989 4427
l21 5132 5775 3983
l22 3578 4988 3364
gs0 1248 639 476
gs1 1297 684 521
gs2 1334 711 548
gs3 1370 741 573
gs4 1412 774 605
gs5 1474 830 659
gs6 1521 870 695
gs7 1592 935 759
gs8 1672 1006 824
gs9 1762 1100 921
gs10 1850 1182 1003
gs11 1951 1304 1119
gs12 2074 1425 1212
gs13 2240 1597 1349
gs14 2446 1846 1576
gs15 2704 2152 1843
gs16 2969 2480 2073
gs17 3273 2862 2370
gs18 3707 3443 2806
gs19 4267 4236 3419
gs20 4850 5124 4056
gs21 5169 5618 4406
gs22 5398 5976 4671
gs23 6140 6305 4796
