patch r g b
a1 11334 18723 12391
a2 9519 21899 13360
a3 8536 25041 14571
a4 8283 25459 14607
a5 6753 9558 6966
a6 5692 11237 7446
a7 5058 13650 8020
a8 4766 18000 8962
a9 4385 3649 3048
a10 4130 3746 3144
a11 3940 3902 3271
a12 3808 4071 3421
a13 3705 2468 2057
a14 3608 2505 2079
a15 3618 2448 2062
a16 3630 2467 2056
a17 3572 2431 2055
a18 3562 2392 2005
a19 3608 2388 1880
a20 16709 27710 20299
a21 8614 26083 20483
a22 6367 25748 20345
b1 11825 19259 14188
b2 10272 22581 17305
b3 9221 25950 20344
b4 8979 27008 21460
b5 6560 10196 8651
b6 5753 12431 11005
b7 5209 16182 14475
b8 5149 22122 19434
b9 4381 3702 3219
b10 4096 3866 3518
b11 3914 4037 3851
b12 3797 4311 4293
b13 3921 2486 2008
b14 3607 2582 2055
b15 3608 2561 2342
b16 3953 2788 2336
b17 3607 2738 2362
b18 3873 2557 2262
b19 3819 2527 1888
b20 11897 27048 21345
b21 6951 26928 21465
b22 4326 5867 5676
c1 10789 15596 12483
c2 10116 17874 16506
c3 9717 20486 21753
c4 9506 20664 23158
c5 5137 6007 6165
c6 4807 7657 10456
c7 4722 10471 18526
c8 4973 13453 26906
c9 4120 3357 3068
c10 3929 3537 3578
c11 3797 3793 4304
c12 3760 4134 5088
c13 4254 2543 1984
c14 3613 2739 2064
c15 3597 2691 2670
c16 4313 3174 2665
c17 3619 3057 2705
c18 4228 2779 2615
c19 4199 2768 1922
c20 16041 27748 22125
c21 4644 9841 10922
c22 4175 4562 4331
d1 11741 15203 12695
d2 11877 16589 16626
d3 12092 18514 22265
d4 11562 18255 23482
d5 5129 4868 5139
d6 5151 5981 8740
d7 5423 8116 15679
d8 6050 12177 28436
d9 3993 3026 2770
d10 3921 3163 3264
d11 3897 3380 3948
d12 4020 4622 7784
d13 4678 2599 1948
d14 3637 2977 2087
d15 3599 2868 3125
d16 4776 3720 3099
d17 3643 3524 3184
d18 4662 3013 3008
d19 4661 3085 1963
d20 5832 13904 14537
d21 5350 6007 5806
d22 4078 4029 3983
e1 12989 14808 12610
e2 14231 15864 16854
e3 15504 17415 22519
e4 15362 17299 23671
e5 7730 7407 7479
e6 8505 8380 11378
e7 9791 10297 17944
e8 11592 13609 28443
e9 4719 3640 3358
e10 4805 3731 3833
e11 4966 3937 4522
e12 5591 4826 7445
e13 5220 2669 1904
e14 3667 3299 2118
e15 3601 3104 3768
e16 5383 4485 3709
e17 3656 4153 3784
e18 5225 3333 3585
e19 5270 3508 2006
e20 4866 15654 25558
e21 5553 11848 16375
e22 4291 6402 7841
f1 19569 20826 15770
f2 22712 21237 17727
f3 25402 21460 20105
f4 25928 21095 20413
f5 11527 9685 8484
f6 14697 9642 9664
f7 19072 10198 11271
f8 24212 11657 14804
f9 4837 3495 3009
f10 5081 3471 3063
f11 5368 3507 3231
f12 6465 3592 3596
f13 5949 2751 1846
f14 3691 3742 2167
f15 3591 3387 4584
f16 6243 5577 4517
f17 3703 5042 4606
f18 5998 3741 4319
f19 6164 4132 2063
f20 4862 5691 6139
f21 4188 5448 6766
f22 3984 4361 4819
g1 17556 16208 11133
g2 21503 15784 10826
g3 24940 15290 10572
g4 25327 14928 10633
g5 10131 7639 5980
g6 13001 7337 5656
g7 17203 7255 5357
g8 22541 7649 5218
g9 4851 3389 2794
g10 5203 3335 2748
g11 5628 3330 2712
g12 7076 3250 2519
g13 6883 2886 1820
g14 3719 4409 2216
g15 3575 3740 5663
g16 7305 7159 5643
g17 3780 6423 5774
g18 6955 4289 5375
g19 7262 4987 2124
g20 4199 4560 5365
g21 4252 5402 7685
g22 4248 9254 21660
h1 16593 15788 9757
h2 19878 14932 8296
h3 23958 14351 7143
h4 24998 13487 6754
h5 9653 7472 5080
h6 12245 6947 4155
h7 16341 6695 3425
h8 22106 6871 2899
h9 4824 3334 2585
h10 5090 3251 2425
h11 5452 3156 2231
h12 6751 3033 1872
h13 8083 3086 1836
h14 3789 5426 2302
h15 3611 4263 7237
h16 8733 9278 7039
h17 3888 8339 7281
h18 8219 5032 6909
h19 8763 6118 2216
h20 4069 4139 5284
h21 4708 4047 3759
h22 4529 4576 6615
i1 12667 13027 7237
i2 14114 11972 5433
i3 16452 11151 4237
i4 23630 10229 3087
i5 7333 6438 4261
i6 7843 6255 3597
i7 8290 6059 3108
i8 10586 5484 2183
i9 4562 3354 2573
i10 4618 3291 2406
i11 4672 3230 2239
i12 4829 3076 1915
i13 9549 3299 1804
i14 3878 6893 2459
i15 3682 5018 9513
i16 10714 12525 8897
i17 4074 11325 9366
i18 9915 6041 8998
i19 10887 7611 2350
i20 4228 3886 5194
i21 8973 8988 14439
i22 5632 3800 4360
j1 15955 19492 9938
j2 15753 18674 7487
j3 16752 17591 5649
j4 24452 14467 3273
j5 7731 7938 5006
j6 7600 7817 4121
j7 7555 7632 3426
j8 7692 7330 2467
j9 4453 3351 2553
j10 4361 3279 2359
j11 4314 3203 2161
j12 4263 3132 1900
j13 11532 3593 1793
j14 3993 8872 2648
j15 3814 6285 13372
j16 13875 17157 11842
j17 4432 16228 12856
j18 12408 7613 12467
j19 14148 9531 2502
j20 5534 3439 3481
j21 18092 13744 23572
j22 22345 21617 21190
k1 9928 14533 7635
k2 8552 15903 6217
k3 7534 17297 5316
k4 7147 18488 5061
k5 6281 6941 4375
k6 5653 7335 3754
k7 5143 7767 3251
k8 4423 9166 2681
k9 4269 3352 2516
k10 4044 3309 2335
k11 3886 3306 2165
k12 3638 3353 1922
k13 14292 4034 1805
k14 4194 11871 2961
k15 4076 8427 19905
k16 18761 24085 16621
k17 4977 23635 17999
k18 16184 10188 18153
k19 18968 12320 2759
k20 17600 17108 14548
k21 21884 21550 15698
k22 21032 18294 10641
l1 11261 18667 11159
l2 9451 21079 10719
l3 8259 22963 10207
l4 7993 23221 9864
l5 6428 8887 5717
l6 5448 10507 5427
l7 4793 12869 5111
l8 4494 16660 5005
l9 4110 3291 2506
l10 3884 3352 2491
l11 3688 3415 2434
l12 3521 3488 2378
l13 17633 4668 1855
l14 4488 15764 3455
l15 4527 11971 30720
l16 25410 34481 24876
l17 5735 32858 25255
l18 21472 14507 27807
l19 24787 15749 3294
l20 24690 30756 20991
l21 21289 28841 18577
l22 15066 25275 15985
gs0 3235 2063 1565
gs1 3418 2254 1721
gs2 3574 2405 1848
gs3 3738 2602 2023
gs4 3963 2838 2215
gs5 4245 3134 2471
gs6 4520 3456 2750
gs7 4808 3810 3027
gs8 5167 4188 3286
gs9 5547 4719 3677
gs10 5989 5338 4159
gs11 6569 6232 4842
gs12 7206 7038 5368
gs13 8028 8284 6206
gs14 8962 9696 7101
gs15 10193 11498 8306
gs16 11607 13743 9540
gs17 13344 16103 10943
gs18 15321 18797 12740
gs19 17816 22362 15438
gs20 20209 25991 18039
gs21 21487 28209 19678
gs22 22559 29860 20980
gs23 25551 31799 22293
