patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,11146.0,19062.0,12571.0,0,0,0,3.6,3.01,2.05
a2,9570.0,20074.0,13142.0,0,0,0,4.42,2.97,1.76
a3,8684.0,21028.0,14010.0,0,0,0,5.12,3.01,1.46
a4,8343.0,21051.0,14014.0,0,0,0,5.65,3.26,1.6
a5,6616.0,11683.0,7289.0,0,0,0,12.71,10.97,7.93
a6,5535.0,12961.0,7739.0,0,0,0,15.07,11.1,6.97
a7,4800.0,14491.0,8234.0,0,0,0,17.42,11.1,6.06
a8,4265.0,16952.0,9102.0,0,0,0,20.36,11.07,5.12
a9,4082.0,5197.0,3673.0,0,0,0,40.62,39.94,31.49
a10,3809.0,5387.0,3744.0,0,0,0,42.88,40.04,30.47
a11,3598.0,5729.0,3876.0,0,0,0,45.09,40.03,29.12
a12,3428.0,5966.0,3931.0,0,0,0,46.77,39.85,28.06
a13,3261.0,3181.0,2392.0,0,0,0,71.78,75.46,63.09
a14,3180.0,3303.0,2444.0,0,0,0,71.91,73.14,62.17
a15,3149.0,3152.0,2398.0,0,0,0,74.11,76.98,63.06
a16,3162.0,3204.0,2377.0,0,0,0,72.73,75.12,62.6
a17,3141.0,3173.0,2420.0,0,0,0,74.05,76.81,62.33
a18,3148.0,3143.0,2373.0,0,0,0,74.16,77.19,62.97
a19,3261.0,3268.0,2337.0,0,0,0,69.16,71.7,62.05
a20,15032.0,24228.0,17420.0,0,0,0,1.37,1.12,0.78
a21,8624.0,21369.0,16646.0,0,0,0,5.17,3.27,0.85
a22,6090.0,20808.0,16551.0,0,0,0,10.35,5.9,0.91
b1,11610.0,19699.0,13760.0,0,0,0,3.35,2.93,1.63
b2,10298.0,20943.0,15278.0,0,0,0,3.98,2.94,1.07
b3,9325.0,22039.0,16954.0,0,0,0,4.71,3.09,0.74
b4,9045.0,22380.0,17383.0,0,0,0,5.08,3.21,0.69
b5,6448.0,12356.0,8927.0,0,0,0,12.86,11.1,5.86
b6,5610.0,14258.0,11003.0,0,0,0,14.66,11.01,3.94
b7,4925.0,16647.0,13361.0,0,0,0,16.97,10.94,2.28
b8,4539.0,19860.0,15908.0,0,0,0,19.7,11.01,1.2
b9,4093.0,5274.0,3877.0,0,0,0,40.39,40.01,29.68
b10,3811.0,5563.0,4178.0,0,0,0,42.59,40.11,26.44
b11,3602.0,5915.0,4522.0,0,0,0,44.29,39.94,23.52
b12,3449.0,6259.0,4856.0,0,0,0,45.98,39.89,21.17
b13,3526.0,3232.0,2375.0,0,0,0,65.55,71.21,61.79
b14,3196.0,3517.0,2442.0,0,0,0,68.8,67.99,60.07
b15,3159.0,3330.0,2763.0,0,0,0,71.26,74.48,51.88
b16,3521.0,3717.0,2699.0,0,0,0,57.82,60.0,49.14
b17,3178.0,3701.0,2751.0,0,0,0,65.61,64.93,49.68
b18,3506.0,3378.0,2718.0,0,0,0,62.84,68.83,51.29
b19,3493.0,3496.0,2323.0,0,0,0,60.77,62.73,59.44
b20,11676.0,23072.0,17418.0,0,0,0,2.87,2.06,0.8
b21,6783.0,21176.0,16853.0,0,0,0,8.37,4.88,0.88
b22,4073.0,8313.0,6198.0,0,0,0,29.02,24.67,11.91
c1,10741.0,17213.0,12500.0,0,0,0,4.49,4.31,2.29
c2,10134.0,18527.0,14684.0,0,0,0,4.9,4.37,1.42
c3,9822.0,19998.0,17209.0,0,0,0,5.13,4.3,0.82
c4,9485.0,19858.0,17838.0,0,0,0,5.7,4.77,0.85
c5,4911.0,8268.0,6690.0,0,0,0,23.78,22.59,10.89
c6,4519.0,10055.0,10631.0,0,0,0,25.55,22.41,5.5
c7,4298.0,12067.0,15503.0,0,0,0,27.72,22.42,2.39
c8,4325.0,13503.0,18533.0,0,0,0,28.7,22.23,1.28
c9,3808.0,4736.0,3758.0,0,0,0,46.89,47.28,32.4
c10,3627.0,5000.0,4275.0,0,0,0,48.17,47.13,26.63
c11,3498.0,5385.0,5049.0,0,0,0,49.81,47.42,21.58
c12,3410.0,5706.0,5685.0,0,0,0,50.47,46.85,18.1
c13,3908.0,3312.0,2366.0,0,0,0,58.24,65.94,60.94
c14,3218.0,3863.0,2473.0,0,0,0,64.18,60.73,57.45
c15,3171.0,3528.0,3187.0,0,0,0,68.73,71.96,42.7
c16,3941.0,4376.0,3128.0,0,0,0,45.88,47.73,38.75
