patch r g b
a1 12670 17235 15482
a2 10730 19280 16505
a3 9482 21160 17922
a4 9045 21282 17655
a5 7395 10462 8522
a6 6190 12115 9237
a7 5455 14352 10090
a8 4815 17425 10975
a9 4697 4405 4145
a10 4410 4645 4335
a11 4145 4915 4527
a12 3942 5097 4635
a13 3825 2737 2642
a14 3750 2860 2727
a15 3750 2747 2685
a16 3750 2785 2685
a17 3685 2732 2672
a18 3697 2705 2642
a19 3867 2860 2672
a20 17815 24102 23282
a21 9332 21247 22035
a22 6562 20750 21875
b1 13085 17762 17272
b2 11592 20000 20352
b3 10367 22115 22920
b4 9887 22502 23517
b5 7255 11135 10580
b6 6297 13377 13532
b7 5582 16585 17772
b8 5145 20797 22430
b9 4697 4462 4377
b10 4432 4857 4997
b11 4217 5172 5507
b12 3995 5342 5837
b13 4187 2850 2770
b14 3825 3115 2855
b15 3825 2977 3237
b16 4230 3307 3237
b17 3760 3227 3185
b18 4112 2937 3100
b19 4187 3125 2747
b20 13212 23195 24327
b21 7245 21725 22707
b22 4612 6840 7235
c1 12157 15195 15440
c2 11432 16872 19435
c3 10965 18582 23547
c4 10580 18475 24445
c5 5742 7112 8182
c6 5272 8752 13307
c7 4997 11065 21780
c8 5050 12827 27822
c9 4442 4075 4272
c10 4260 4415 5145
c11 4122 4730 6147
c12 4015 4970 6957
c13 4697 2977 2832
c14 3900 3477 2940
c15 3867 3205 3900
c16 4772 3952 3920
c17 3845 3807 3825
c18 4570 3190 3655
c19 4602 3407 2747
c20 17145 24395 24987
c21 4880 10637 12552
c22 4462 5497 5912
d1 13147 14980 15705
d2 13275 16072 19712
d3 13477 17230 24167
d4 12902 16910 24775
d5 5850 5940 7277
d6 5827 6892 11657
d7 6010 8475 19702
d8 6392 10590 29985
d9 4325 3642 3930
d10 4240 3807 4697
d11 4260 4057 5720
d12 4315 4877 10015
d13 5285 3077 2855
d14 3985 3987 3100
d15 3900 3450 4622
d16 5412 4772 4687
d17 3920 4602 4687
d18 5145 3482 4305
d19 5210 3907 2855
d20 6382 14607 17560
d21 5827 6865 7352
d22 4390 4910 5592
e1 14460 14912 15930
e2 15737 15727 20170
e3 17060 16610 24497
e4 16942 16397 25327
e5 8917 8540 9972
e6 9750 9295 14980
e7 11037 10360 22035
e8 12615 11630 29547
e9 5262 4452 4795
e10 5380 4510 5507
e11 5592 4702 6467
e12 6297 5182 9750
e13 5935 3125 2790
e14 4037 4565 3185
e15 3920 3755 5592
e16 6167 5737 5560
e17 4027 5602 5625
e18 5850 3860 5230
e19 5977 4552 3015
e20 5070 15715 26597
e21 5945 12280 18742
e22 4612 7472 10015
f1 21182 20627 20267
f2 23410 20640 21855
f3 24870 20805 24092
f4 25210 20352 24445
f5 13202 10647 10847
f6 16557 10467 12497
f7 20542 10457 14470
f8 23537 10930 18562
f9 5432 4355 4377
f10 5732 4230 4485
f11 6082 4265 4730
f12 7362 4127 5210
f13 6892 3302 2812
f14 4070 5300 3335
f15 3942 4052 6722
f16 7160 6962 6562
f17 4090 6850 6775
f18 6850 4387 6402
f19 7010 5250 3100
f20 5487 6935 8267
f21 4570 6492 8832
f22 4335 5395 6840
g1 19317 16467 14725
g2 22482 15822 14352
g3 24295 15187 13937
g4 24560 14865 13872
g5 11752 8602 7810
g6 14790 8017 7437
g7 18807 7457 7020
g8 22335 7255 6925
g9 5517 4330 4230
g10 5977 4190 4165
g11 6477 4137 4122
g12 8097 3792 3760
g13 7990 3445 2802
g14 4165 6317 3482
g15 3995 4480 8277
g16 8427 8737 7937
g17 4165 8625 8277
g18 7960 4932 7735
g19 8277 6140 3185
g20 4697 5710 7575
g21 4697 6360 10155
g22 4507 8730 24752
h1 18465 15997 12775
h2 21535 15145 10942
h3 24070 14480 9440
h4 24530 13627 8907
h5 11252 8630 6840
h6 13947 7727 5615
h7 17880 7010 4612
h8 21875 6605 3962
h9 5560 4340 3985
h10 5902 4212 3760
h11 6350 4052 3462
h12 7725 3637 2790
h13 9322 3562 2727
h14 4282 7675 3685
h15 4047 5045 10472
h16 10132 10972 9557
h17 4292 10930 10100
h18 9462 5597 9600
h19 10037 7325 3260
h20 4592 5170 7682
h21 5295 5122 5592
h22 5102 5352 9152
i1 14630 13605 9270
i2 16207 12757 7127
i3 18722 12120 5807
i4 23347 10617 4325
i5 8587 7882 6167
i6 9057 7537 5167
i7 9547 7212 4432
i8 12265 6312 3077
i9 5315 4505 4080
i10 5380 4437 3825
i11 5487 4377 3547
i12 5615 4117 3015
i13 11145 3785 2770
i14 4410 9472 3920
i15 4132 5772 13392
i16 12540 13967 12062
i17 4485 14052 12732
i18 11357 6430 12210
i19 12582 8985 3420
i20 4890 4820 7692
i21 10207 9662 18882
i22 6510 4607 6690
j1 18040 19270 13287
j2 18050 18432 9887
j3 19360 17432 7542
j4 24220 14250 4495
j5 9077 9620 7075
j6 8897 9545 5965
j7 8812 9360 5017
j8 8950 8992 3610
j9 5200 4570 4102
j10 5112 4590 3887
j11 5070 4542 3600
j12 5007 4480 3217
j13 13372 4015 2770
j14 4537 11672 4240
j15 4230 6925 18347
j16 16035 18252 16707
j17 4815 18182 17465
j18 13957 7852 16877
j19 16035 10697 3547
j20 6520 4400 5605
j21 19307 13132 27310
j22 22750 21017 26032
k1 11635 14777 10037
k2 10005 15540 8162
k3 8757 16412 7075
k4 8267 17207 6797
k5 7405 8772 6435
k6 6670 9365 5677
k7 6115 10047 5050
k8 5070 11570 4132
k9 4997 4692 4155
k10 4772 4830 3972
k11 4592 4942 3750
k12 4197 5070 3312
k13 15950 4302 2770
k14 4720 14047 4580
k15 4442 8545 25190
k16 21087 24730 23367
k17 5230 23100 23475
k18 17560 9855 23292
k19 20405 12682 3910
k20 19637 18375 20427
k21 22580 21475 21247
k22 21685 18087 14532
l1 13075 18135 14620
l2 11060 19567 13927
l3 9620 20772 13467
l4 9270 21032 13202
l5 7627 10877 8045
l6 6402 12572 7735
l7 5582 14782 7597
l8 4975 17607 7542
l9 4880 4750 4377
l10 4592 4975 4377
l11 4335 5160 4282
l12 4037 5267 4145
l13 18507 4717 2875
l14 4900 16190 5027
l15 4762 10430 32925
l16 25137 30512 30497
l17 5690 27842 29132
l18 21525 12307 30122
l19 23485 15075 4570
l20 24200 27815 26307
l21 21865 25907 22985
l22 16100 22835 19765
gs0 3727 2672 2535
gs1 3952 2965 2812
gs2 4175 3200 3077
gs3 4462 3562 3407
gs4 4772 3920 3782
gs5 5102 4340 4260
gs6 5412 4750 4622
gs7 5827 5295 5102
gs8 6285 5842 5615
gs9 6817 6627 6327
gs10 7320 7255 6830
gs11 7872 8150 7490
gs12 8577 9077 8065
gs13 9472 10222 8790
gs14 10645 11660 9962
gs15 11955 13122 11380
gs16 13447 14880 12925
gs17 15045 16742 15045
gs18 17112 19322 17537
gs19 19510 22317 20522
gs20 21342 24997 23272
gs21 21822 25507 23910
gs22 22110 25945 24880
gs23 23240 26565 25657
