patch r g b
a1 1702 19402 2215
a2 1917 22355 2555
a3 2097 24937 2855
a4 2107 25205 2875
a5 1042 12055 1385
a6 1225 14475 1650
a7 1470 17692 2002
a8 1810 22185 2492
a9 435 4707 552
a10 457 5045 585
a11 477 5395 627
a12 510 5682 670
a13 287 2780 340
a14 287 2930 350
a15 265 2790 330
a16 287 2850 340
a17 287 2785 330
a18 287 2752 330
a19 297 2945 350
a20 2352 26562 3077
a21 2055 23777 2802
a22 2012 23405 2780
b1 1735 19567 2267
b2 1895 22092 2567
b3 2077 24550 2855
b4 2107 25107 2917
b5 1085 12450 1447
b6 1267 14955 1757
b7 1532 18470 2172
b8 1895 23400 2757
b9 435 4707 552
b10 467 5135 605
b11 490 5455 650
b12 510 5645 670
b13 287 2847 340
b14 317 3290 382
b15 287 2940 360
b16 330 3370 392
b17 317 3340 392
b18 287 2887 350
b19 317 3297 382
b20 2215 25482 2972
b21 2077 24437 2897
b22 670 7340 882
c1 1457 16307 1895
c2 1555 17650 2077
c3 1630 18912 2247
c4 1607 18545 2225
c5 650 7330 872
c6 722 8175 1022
c7 777 8880 1182
c8 820 9550 1310
c9 392 4165 490
c10 402 4415 520
c11 415 4575 562
c12 435 4682 585
c13 297 2960 350
c14 350 3787 435
c15 297 3055 372
c16 392 4085 490
c17 372 4010 477
c18 307 3045 372
c19 360 3685 425
c20 2322 26607 3100
c21 980 11300 1352
c22 542 5785 692
d1 1415 15812 1842
d2 1447 16120 1917
d3 1470 16365 1980
d4 1395 15732 1917
d5 542 5832 692
d6 542 5832 745
d7 520 5550 787
d8 510 5347 850
d9 340 3642 435
d10 340 3637 447
d11 350 3685 457
d12 330 3497 490
d13 307 3020 350
d14 415 4522 520
d15 307 3172 392
d16 467 4975 585
d17 447 4925 585
d18 330 3205 392
d19 415 4325 500
d20 1330 15550 1862
d21 650 7202 872
d22 477 5022 605
e1 1395 15460 1800
e2 1395 15155 1820
e3 1395 14900 1820
e4 1330 14297 1757
e5 777 8475 1010
e6 745 7847 1000
e7 692 7032 957
e8 650 6327 947
e9 415 4457 520
e10 402 4287 520
e11 402 4240 520
e12 382 3780 510
e13 317 3062 350
e14 477 5347 595
e15 317 3307 425
