patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,12670.0,17235.0,15482.0,9920.0,19402.0,13075.0,1540.89555006,1394.0,1372.89184178
a2,10730.0,19280.0,16505.0,8032.0,22355.0,13882.0,1756.6170755,1383.0,1266.24466391
a3,9482.0,21160.0,17922.0,6765.0,24937.0,14992.0,1921.44012945,1375.0,1153.39805825
a4,9045.0,21282.0,17655.0,6360.0,25205.0,14682.0,2056.4045677,1440.0,1201.80097879
a5,7395.0,10462.0,8522.0,5807.0,12055.0,7107.0,4144.71662125,3701.0,3359.24856191
a6,6190.0,12115.0,9237.0,4580.0,14475.0,7650.0,4771.84104938,3739.0,3029.28240741
a7,5455.0,14352.0,10090.0,3740.0,17692.0,8215.0,5314.16666667,3682.0,2670.5
a8,4815.0,17425.0,10975.0,2940.0,22185.0,8790.0,5988.85311475,3643.0,2312.40918033
a9,4697.0,4405.0,4145.0,3877.0,4707.0,3590.0,12155.5568581,11980.0,10975.8147714
a10,4410.0,4645.0,4335.0,3580.0,5045.0,3750.0,12713.7809187,12000.0,10621.9081272
a11,4145.0,4915.0,4527.0,3335.0,5395.0,3910.0,13202.6743499,11930.0,10121.462766
a12,3942.0,5097.0,4635.0,3120.0,5682.0,3985.0,13693.3769322,11940.0,9860.08323424
a13,3825.0,2737.0,2642.0,3205.0,2780.0,2310.0,21174.6122449,22170.0,21290.9562682
a14,3750.0,2860.0,2727.0,3132.0,2930.0,2352.0,21130.7833284,21480.0,20883.1569613
a15,3750.0,2747.0,2685.0,3132.0,2790.0,2365.0,21783.4484761,22590.0,21199.8461538
a16,3750.0,2785.0,2685.0,3162.0,2850.0,2332.0,21326.0961313,21970.0,21094.2907386
a17,3685.0,2732.0,2672.0,3100.0,2785.0,2352.0,21655.848564,22410.0,20947.2062663
a18,3697.0,2705.0,2642.0,3090.0,2752.0,2300.0,21686.7024673,22510.0,21144.371553
a19,3867.0,2860.0,2672.0,3250.0,2945.0,2310.0,20181.7634855,20830.0,20725.0474215
a20,17815.0,24102.0,23282.0,14075.0,26562.0,19905.0,677.534555308,603.3,642.340452662
a21,9332.0,21247.0,22035.0,6552.0,23777.0,19030.0,1736.39698492,1221.0,651.825598581
a22,6562.0,20750.0,21875.0,4037.0,23405.0,18850.0,3086.12137203,1944.0,669.08707124
b1,13085.0,17762.0,17272.0,10282.0,19567.0,14587.0,1469.44946809,1371.0,1210.96897163
b2,11592.0,20000.0,20352.0,8705.0,22092.0,17390.0,1616.66187262,1361.0,1017.054887
b3,10367.0,22115.0,22920.0,7415.0,24550.0,19637.0,1779.34856974,1371.0,892.706576231
b4,9887.0,22502.0,23517.0,6977.0,25107.0,20277.0,1889.49837806,1421.0,880.005897965
b5,7255.0,11135.0,10580.0,5592.0,12450.0,8992.0,4135.86095346,3702.0,2667.24687855
b6,6297.0,13377.0,13532.0,4537.0,14955.0,11572.0,4610.41608294,3677.0,2015.18968899
b7,5582.0,16585.0,17772.0,3580.0,18470.0,15430.0,5131.65018264,3623.0,1425.17561113
b8,5145.0,20797.0,22430.0,2822.0,23400.0,19372.0,5745.68917749,3593.0,1030.71919192
b9,4697.0,4462.0,4377.0,3877.0,4707.0,3802.0,12015.8026467,11930.0,10375.2560414
b10,4432.0,4857.0,4997.0,3600.0,5135.0,4335.0,12482.5843015,11880.0,9301.3431567
b11,4217.0,5172.0,5507.0,3345.0,5455.0,4837.0,12913.716443,11850.0,8373.86744966
b12,3995.0,5342.0,5837.0,3132.0,5645.0,5157.0,13307.1124031,11830.0,7614.8255814
b13,4187.0,2850.0,2770.0,3557.0,2847.0,2407.0,19217.069371,20630.0,20793.7301587
b14,3825.0,3115.0,2855.0,3195.0,3290.0,2482.0,19972.9593693,19710.0,20080.5336568
b15,3825.0,2977.0,3237.0,3185.0,2940.0,2865.0,20622.7197117,21530.0,17536.7729415
b16,4230.0,3307.0,3237.0,3557.0,3370.0,2812.0,16861.7990654,17390.0,16536.7523364
b17,3760.0,3227.0,3185.0,3110.0,3340.0,2780.0,18892.7752028,18730.0,16635.6257242
b18,4112.0,2937.0,3100.0,3482.0,2887.0,2727.0,18277.5034868,19850.0,17242.0920502
b19,4187.0,3125.0,2747.0,3525.0,3297.0,2385.0,17538.2760736,17940.0,19552.398773
b20,13212.0,23195.0,24327.0,9887.0,25482.0,20800.0,1053.00981267,827.4,579.893487957
b21,7245.0,21725.0,22707.0,4622.0,24437.0,19670.0,2565.17791411,1644.0,593.626643295
