patch r g b
a1 9920 865 127
a2 8032 702 95
a3 6765 595 72
a4 6360 557 72
a5 5807 500 62
a6 4580 397 52
a7 3740 327 42
a8 2940 260 20
a9 3877 332 42
a10 3580 307 42
a11 3335 285 30
a12 3120 265 20
a13 3205 275 30
a14 3132 265 30
a15 3132 265 20
a16 3162 270 30
a17 3100 265 20
a18 3090 265 20
a19 3250 275 30
a20 14075 1202 180
a21 6552 572 72
a22 4037 365 42
b1 10282 897 127
b2 8705 755 115
b3 7415 647 85
b4 6977 610 72
b5 5592 482 62
b6 4537 392 52
b7 3580 312 42
b8 2822 247 20
b9 3877 332 42
b10 3600 307 42
b11 3345 285 42
b12 3132 265 30
b13 3557 302 42
b14 3195 270 30
b15 3185 270 42
b16 3557 302 42
b17 3110 265 20
b18 3482 297 42
b19 3525 302 42
b20 9887 850 127
b21 4622 410 52
b22 3557 312 42
c1 9632 840 127
c2 8832 770 115
c3 8235 712 95
c4 7905 680 85
c5 4570 392 52
c6 3942 340 42
c7 3397 292 42
c8 3237 275 42
c9 3665 312 42
c10 3482 297 42
c11 3312 280 42
c12 3162 270 30
c13 4027 345 42
c14 3237 275 30
c15 3237 275 42
c16 4005 340 42
c17 3142 270 30
c18 3867 330 42
c19 3900 340 42
c20 13467 1150 170
c21 3430 302 42
c22 3557 312 42
d1 10580 915 137
d2 10612 915 137
d3 10655 915 137
d4 10112 867 127
d5 4762 407 52
d6 4622 397 52
d7 4570 387 52
d8 4612 392 52
d9 3622 307 42
d10 3515 297 42
d11 3515 297 42
d12 3452 292 42
d13 4580 387 52
d14 3280 280 30
d15 3237 275 30
d16 4527 382 52
d17 3162 275 30
d18 4377 372 52
d19 4410 382 52
d20 4452 387 52
d21 4697 407 52
d22 3547 307 42
e1 11817 1015 147
e2 12925 1105 157
e3 14055 1197 190
e4 13957 1182 190
e5 7340 627 85
e6 7990 675 95
e7 8992 760 115
e8 10282 865 127
e9 4410 375 52
e10 4527 382 52
e11 4687 397 52
e12 5230 440 52
e13 5167 435 62
e14 3292 285 20
e15 3237 280 30
e16 5135 435 52
e17 3162 275 20
e18 4997 425 52
e19 5070 435 52
e20 3025 265 20
e21 4217 365 42
e22 3495 307 42
f1 17645 1505 232
f2 19712 1670 275
f3 21065 1777 287
f4 21470 1797 287
f5 11145 947 137
f6 14310 1202 190
f7 18060 1500 245
f8 20745 1715 287
f9 4602 392 52
f10 4890 415 52
f11 5210 440 52
f12 6360 535 72
f13 6030 510 72
f14 3280 285 20
f15 3205 275 30
f16 5945 505 62
f17 3132 275 20
f18 5850 500 62
f19 5965 515 62
f20 4357 375 52
f21 3547 307 42
f22 3452 302 42
g1 16292 1387 212
g2 19350 1630 265
g3 21182 1777 297
g4 21450 1792 297
g5 9982 850 127
g6 12945 1090 170
g7 16772 1400 222
