patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,24220.0,33633.0,28907.0,0,0,0,1540.89555006,1394.0,1372.89184178
a2,20202.0,39345.0,30912.0,0,0,0,1756.6170755,1383.0,1266.24466391
a3,17870.0,44798.0,33490.0,0,0,0,1921.44012945,1375.0,1153.39805825
a4,17047.0,44713.0,32447.0,0,0,0,2056.4045677,1440.0,1201.80097879
a5,14405.0,18225.0,16195.0,0,0,0,4144.71662125,3701.0,3359.24856191
a6,12147.0,21490.0,17625.0,0,0,0,4771.84104938,3739.0,3029.28240741
a7,10867.0,26382.0,19212.0,0,0,0,5314.16666667,3682.0,2670.5
a8,10047.0,34338.0,20970.0,0,0,0,5988.85311475,3643.0,2312.40918033
a9,10005.0,7980.0,8182.0,0,0,0,12155.5568581,11980.0,10975.8147714
a10,9462.0,8410.0,8545.0,0,0,0,12713.7809187,12000.0,10621.9081272
a11,8885.0,8650.0,8747.0,0,0,0,13202.6743499,11930.0,10121.462766
a12,8577.0,9055.0,9057.0,0,0,0,13693.3769322,11940.0,9860.08323424
a13,8555.0,5507.0,5827.0,0,0,0,21174.6122449,22170.0,21290.9562682
a14,8300.0,5575.0,5762.0,0,0,0,21130.7833284,21480.0,20883.1569613
a15,8045.0,5170.0,5455.0,0,0,0,21783.4484761,22590.0,21199.8461538
a16,7947.0,5055.0,5112.0,0,0,0,21326.0961313,21970.0,21094.2907386
a17,7852.0,5017.0,5220.0,0,0,0,21655.848564,22410.0,20947.2062663
a18,7990.0,5102.0,5380.0,0,0,0,21686.7024673,22510.0,21144.371553
a19,8172.0,5192.0,5200.0,0,0,0,20181.7634855,20830.0,20725.0474215
a20,34110.0,46130.0,43423.0,0,0,0,677.534555308,603.3,642.340452662
a21,17507.0,43853.0,43423.0,0,0,0,1736.39698492,1221.0,651.825598581
a22,12902.0,43485.0,43145.0,0,0,0,3086.12137203,1944.0,669.08707124
b1,25105.0,34428.0,32788.0,0,0,0,1469.44946809,1371.0,1210.96897163
b2,21672.0,40215.0,39660.0,0,0,0,1616.66187262,1361.0,1017.054887
