patch r g b
a1 24805 32532 28365
a2 20532 38945 29910
a3 18487 46268 32552
a4 17942 47050 32457
a5 15610 17437 16195
a6 13447 20420 17710
a7 11955 24210 18742
a8 11027 31135 20095
a9 10645 7432 7640
a10 10100 7697 7947
a11 9897 8330 8630
a12 9802 8875 9152
a13 9472 5540 5827
a14 9260 5625 5850
a15 9322 5535 5965
a16 9387 5602 5922
a17 9397 5667 6115
a18 9355 5615 6105
a19 9577 5757 6030
a20 35580 49590 45193
a21 19010 47243 45448
a22 14522 45335 45843
b1 25572 33188 32317
b2 22185 39518 38340
b3 20000 46875 44968
b4 19382 48718 47503
b5 15407 18785 20587
b6 13595 22425 26192
b7 12307 28402 33895
b8 11805 36758 42548
b9 10730 7612 8172
b10 10122 7947 8832
b11 9962 8700 10217
b12 9897 9430 11560
b13 10070 5677 5892
b14 9312 5865 5880
b15 9365 5837 6797
b16 10175 6312 6712
b17 9492 6337 6935
b18 10037 5885 6637
b19 10112 6072 5987
b20 25797 49560 48048
b21 15737 48685 47930
b22 11027 11987 14460
c1 23762 26585 28962
c2 22045 30085 36730
c3 21450 34808 48750
c4 20790 34183 50178
c5 12497 11565 14950
c6 11752 14297 24677
c7 11432 18252 41525
c8 11667 21827 56998
c9 10240 7020 7905
c10 9930 7580 9430
c11 9770 8202 11455
c12 9695 8842 13255
c13 10900 5762 5827
c14 9505 6365 6137
c15 9417 6177 7820
c16 11112 7195 7660
c17 9567 7027 7787
c18 10835 6265 7512
c19 10910 6460 5892
c20 34130 49650 48868
c21 11615 18140 25585
c22 10805 9755 11667
d1 25680 26085 29325
d2 25915 28027 37520
d3 26532 31045 50083
d4 25210 29745 51288
d5 12552 9630 12755
d6 12467 11382 20702
d7 13000 14507 35943
d8 14012 19782 60708
d9 10132 6550 7512
d10 9982 6887 8897
d11 9897 7235 10387
d12 10080 9130 18817
d13 11752 5795 5647
d14 9577 6892 6167
d15 9472 6540 9025
d16 12317 8352 8832
d17 9610 7965 8885
d18 11772 6605 8267
d19 12072 7090 5892
d20 14192 25562 34653
d21 13307 11900 14300
d22 10645 8780 10965
e1 28375 25237 29217
e2 31040 26720 38543
e3 34088 28907 51010
e4 33278 27795 51288
e5 18007 13595 17560
e6 19862 15242 27117
e7 22652 17710 40738
e8 26150 21497 60068
e9 11945 7825 9067
e10 12125 8070 10345
e11 12360 8310 11817
e12 13607 9572 18252
e13 13212 6035 5700
e14 9780 7810 6457
e15 9577 7115 10922
e16 13692 9802 10175
e17 9822 9365 10537
e18 13020 7077 9525
e19 13467 7887 5912
e20 12082 26937 56913
e21 13435 20862 36890
e22 11092 12875 19840
f1 42433 35313 35613
f2 49475 34563 39150
f3 55688 34718 44830
f4 56573 33015 43743
f5 26192 17335 20000
f6 33363 17165 23197
f7 43338 17472 26735
f8 55305 18572 32425
f9 12285 7670 8352
f10 12860 7660 8577
f11 13532 7697 9025
f12 16025 7677 9887
f13 15172 6275 5700
f14 9897 8842 6627
f15 9525 7552 12775
f16 15492 11565 11795
f17 9962 11065 12467
f18 14937 7857 11380
f19 15557 8960 5912
f20 12435 11522 15270
f21 10782 10890 16590
f22 10400 9247 12807
g1 38530 27655 26202
g2 47258 25867 25007
g3 55550 24827 24390
g4 56305 23637 23420
g5 23495 14037 14277
g6 29962 13327 13660
g7 39608 12770 12967
g8 52150 12685 12030
g9 12402 7532 7905
g10 13275 7505 7970
g11 14330 7510 7915
g12 17815 7137 7500
g13 17645 6577 5775
g14 10112 10282 6787
g15 9620 8380 15832
g16 17635 14155 14075
g17 10047 13387 14810
g18 16975 8607 13670
g19 18115 10490 6010
g20 11070 9785 14042
g21 10952 10802 18860
g22 10707 15897 47845
h1 36538 27245 23005
h2 44030 25035 19127
h3 53748 23590 16345
h4 56263 21917 14917
h5 22557 13910 12265
h6 28237 12680 9995
h7 37968 12167 8695
h8 51745 11815 7170
h9 12242 7357 7277
h10 13117 7425 7255
h11 14042 7217 6712
h12 17250 6910 5837
h13 20820 6892 5795
h14 10420 12525 7117
h15 9642 9215 19392
h16 20702 17832 17282
h17 10270 16712 18402
h18 19690 9520 16505
h19 21322 12280 5955
h20 10762 8982 14075
h21 11975 8522 9835
h22 11422 9092 16195
i1 28620 22962 16952
i2 31870 21277 12765
i3 37210 19637 10037
i4 54558 17165 7020
i5 17367 12182 10260
i6 18520 11955 8940
i7 19967 11895 8075
i8 25435 10675 5827
i9 11847 7617 7500
i10 11965 7490 7020
i11 12370 7600 6915
i12 12892 7437 6167
i13 24602 7175 5700
i14 10687 15427 7415
i15 9760 10387 24550
i16 25232 23472 22002
i17 10547 21570 23090
i18 23197 10807 20672
i19 25840 14710 6010
i20 11155 8380 13820
i21 20800 15440 31945
i22 13830 7565 10835
j1 35025 35005 23165
j2 35035 34483 17655
j3 37573 32207 13147
j4 56893 24672 7180
j5 18370 15032 12082
j6 18317 15272 10472
j7 18455 15230 9002
j8 18732 14800 6552
j9 11527 7495 7277
j10 11390 7510 6967
j11 11485 7617 6680
j12 11507 7612 6137
j13 29025 7500 5550
j14 10910 19302 7735
j15 10015 12407 33503
j16 31412 31582 29132
j17 11187 29595 31262
j18 28482 13110 28312
j19 32968 17957 6392
j20 14257 7575 9845
j21 40385 22120 51510
j22 48558 34680 46375
k1 22782 26122 18145
