patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,25252.0,34333.0,32000.0,0,0,0,1540.89555006,1394.0,1372.89184178
a2,21365.0,36080.0,33895.0,0,0,0,1756.6170755,1383.0,1266.24466391
a3,19137.0,37490.0,35900.0,0,0,0,1921.44012945,1375.0,1153.39805825
a4,18455.0,37433.0,35515.0,0,0,0,2056.4045677,1440.0,1201.80097879
a5,14960.0,21135.0,18200.0,0,0,0,4144.71662125,3701.0,3359.24856191
a6,12402.0,23800.0,19722.0,0,0,0,4771.84104938,3739.0,3029.28240741
a7,10707.0,27010.0,21567.0,0,0,0,5314.16666667,3682.0,2670.5
a8,9247.0,31445.0,23697.0,0,0,0,5988.85311475,3643.0,2312.40918033
a9,9205.0,9722.0,8982.0,0,0,0,12155.5568581,11980.0,10975.8147714
a10,8662.0,10345.0,9365.0,0,0,0,12713.7809187,12000.0,10621.9081272
a11,8192.0,11037.0,9717.0,0,0,0,13202.6743499,11930.0,10121.462766
a12,7715.0,11305.0,9822.0,0,0,0,13693.3769322,11940.0,9860.08323424
a13,7457.0,6060.0,5850.0,0,0,0,21174.6122449,22170.0,21290.9562682
a14,7287.0,6217.0,5880.0,0,0,0,21130.7833284,21480.0,20883.1569613
a15,7245.0,5917.0,5837.0,0,0,0,21783.4484761,22590.0,21199.8461538
a16,7180.0,5912.0,5720.0,0,0,0,21326.0961313,21970.0,21094.2907386
a17,7052.0,5805.0,5720.0,0,0,0,21655.848564,22410.0,20947.2062663
a18,7127.0,5817.0,5720.0,0,0,0,21686.7024673,22510.0,21144.371553
a19,7405.0,6082.0,5720.0,0,0,0,20181.7634855,20830.0,20725.0474215
a20,33193.0,42090.0,44223.0,0,0,0,677.534555308,603.3,642.340452662
a21,18850.0,37278.0,41035.0,0,0,0,1736.39698492,1221.0,651.825598581
a22,13042.0,35728.0,40235.0,0,0,0,3086.12137203,1944.0,669.08707124
b1,25977.0,35068.0,34153.0,0,0,0,1469.44946809,1371.0,1210.96897163
b2,22855.0,37305.0,38563.0,0,0,0,1616.66187262,1361.0,1017.054887
b3,20650.0,39213.0,42293.0,0,0,0,1779.34856974,1371.0,892.706576231
b4,19862.0,39598.0,43455.0,0,0,0,1889.49837806,1421.0,880.005897965
b5,14480.0,22210.0,22142.0,0,0,0,4135.86095346,3702.0,2667.24687855
b6,12510.0,26067.0,27855.0,0,0,0,4610.41608294,3677.0,2015.18968899
b7,10975.0,31040.0,34695.0,0,0,0,5131.65018264,3623.0,1425.17561113
b8,9812.0,36868.0,41365.0,0,0,0,5745.68917749,3593.0,1030.71919192
b9,9290.0,9920.0,9632.0,0,0,0,12015.8026467,11930.0,10375.2560414
b10,8695.0,10670.0,10527.0,0,0,0,12482.5843015,11880.0,9301.3431567
b11,8267.0,11485.0,11540.0,0,0,0,12913.716443,11850.0,8373.86744966
b12,7885.0,12077.0,12445.0,0,0,0,13307.1124031,11830.0,7614.8255814
b13,8215.0,6295.0,6115.0,0,0,0,19217.069371,20630.0,20793.7301587
b14,7457.0,6860.0,6222.0,0,0,0,19972.9593693,19710.0,20080.5336568
b15,7382.0,6460.0,7010.0,0,0,0,20622.7197117,21530.0,17536.7729415
b16,8162.0,7085.0,6947.0,0,0,0,16861.7990654,17390.0,16536.7523364
b17,7297.0,7020.0,6925.0,0,0,0,18892.7752028,18730.0,16635.6257242
b18,8130.0,6375.0,6862.0,0,0,0,18277.5034868,19850.0,17242.0920502
b19,8022.0,6630.0,5880.0,0,0,0,17538.2760736,17940.0,19552.398773
b20,25562.0,40040.0,43038.0,0,0,0,1053.00981267,827.4,579.893487957
b21,14565.0,36800.0,41110.0,0,0,0,2565.17791411,1644.0,593.626643295
b22,9002.0,14705.0,14852.0,0,0,0,8353.68619934,7262.0,4269.30832421
c1,23965.0,30607.0,30955.0,0,0,0,1768.28067701,1735.0,1390.93653032
