patch r g b
a1 24902 32002 31870
a2 21907 32680 32915
a3 19755 33103 34568
a4 19052 33000 34333
a5 15790 22167 20075
a6 13435 24150 21897
a7 11602 26180 23495
a8 9812 28450 25307
a9 9567 11085 9610
a10 8865 11560 9780
a11 8375 12195 10132
a12 7937 12647 10345
a13 7702 7035 6572
a14 7447 7227 6615
a15 7340 6802 6467
a16 7297 6732 6275
a17 7192 6685 6382
a18 7212 6615 6297
a19 7542 6872 6275
a20 28535 35675 41473
a21 19340 32477 37913
a22 13565 30287 36335
b1 25370 32620 33503
b2 23250 33825 36710
b3 21237 34710 39758
b4 20480 34688 39980
b5 15342 23105 23347
b6 13500 25812 27927
b7 11785 29137 33193
b8 10315 32132 38275
b9 9590 11197 10100
b10 8865 11912 11102
b11 8417 12710 12030
b12 8032 13377 13075
b13 8417 7250 6702
b14 7555 7862 6830
b15 7500 7340 7650
b16 8310 8032 7415
b17 7405 7990 7490
b18 8117 7157 7340
b19 8150 7485 6425
b20 25210 34828 40428
b21 15162 31412 37700
b22 9270 15315 15855
c1 24102 30287 30752
c2 22972 31710 34963
c3 22302 33373 39650
c4 21597 33080 40055
c5 11625 16105 17785
c6 10720 19167 26372
c7 10090 22260 35440
c8 9962 24240 40343
c9 8992 10237 9930
c10 8512 10900 11517
c11 8215 11725 13627
c12 7990 12477 15492
c13 9355 7372 6732
c14 7650 8645 6915
c15 7565 7787 8800
c16 9322 9370 8555
c17 7532 9360 8715
c18 9110 7815 8492
c19 9172 8400 6530
c20 28375 35968 42345
c21 10005 21272 25530
c22 8970 12860 12872
d1 25445 30425 31637
d2 25572 31595 35613
d3 25990 33118 40385
d4 25297 32532 40408
d5 11700 13787 15642
d6 11752 15875 23910
d7 12210 17952 33735
d8 12785 19740 41783
d9 8682 9110 9130
d10 8577 9620 10877
d11 8545 10212 12915
d12 8715 12187 22567
d13 10560 7482 6702
d14 7715 9662 7062
d15 7575 8320 10260
d16 10730 11127 9952
d17 7702 11015 10112
d18 10430 8475 9780
d19 10495 9417 6562
d20 13457 26402 31327
d21 12062 15445 16132
d22 8780 11662 12190
e1 26702 30540 31625
e2 27767 31690 36613
e3 28802 32760 40940
e4 28855 32435 41653
e5 18210 19210 21705
e6 19892 20532 28525
e7 22462 21875 35665
e8 25157 23212 42815
e9 10815 11057 11037
e10 11050 11295 12615
e11 11527 11635 14522
e12 12945 12642 21780
e13 12040 7735 6680
e14 7852 11065 7287
e15 7682 9045 12295
e16 12435 13180 11687
e17 7830 13100 12020
e18 11965 9257 11635
e19 12082 10600 6605
e20 9897 26952 38873
e21 12510 23575 32115
e22 9407 16695 21365
f1 29580 34883 37028
f2 30252 35323 39203
f3 30710 35860 41313
f4 30902 35680 41590
f5 25605 24050 24357
f6 28505 24210 27362
f7 30122 24577 30517
f8 30997 25137 34983
f9 11135 10622 9952
f10 11870 10580 10260
f11 12615 10462 10645
f12 15195 10042 11602
f13 14042 8000 6615
f14 8045 12530 7490
f15 7787 9775 14800
f16 14790 15657 13937
f17 8065 15445 14447
f18 13980 10250 13830
f19 14385 12045 6807
f20 11112 15262 17262
f21 9057 14635 18445
f22 8695 12487 14405
g1 29080 31870 30550
g2 29792 31635 30325
g3 30252 31247 29867
g4 30442 30912 29782
g5 23272 19622 17985
g6 26895 19040 17592
g7 29047 18412 17452
g8 29932 18225 17422
g9 11272 10387 9322
g10 12210 10202 9260
g11 13330 10100 9237
g12 16642 9220 8610
g13 16207 8240 6585
g14 8215 14250 7767
g15 7862 10802 18285
g16 17582 19045 17452
g17 8352 18380 17847
g18 16237 11517 16730
g19 17272 13897 7052
g20 9345 13115 15907
g21 9345 14410 20862
g22 8460 16562 36433
h1 28812 31257 28100
h2 29717 30560 25840
h3 30210 29872 23517
h4 30412 28757 22152
h5 22665 19335 15567
h6 26297 18107 13307
h7 28737 17022 11305
h8 29612 16365 9972
h9 11240 10382 8790
h10 12062 10232 8460
h11 13042 9875 7872
h12 16057 8975 6660
h13 18935 8612 6500
h14 8522 16127 8182
h15 7960 12012 22632
h16 21310 23467 21875
h17 8662 21525 21737
h18 19157 13030 20362
h19 21022 16015 7467
h20 9077 11922 16270
h21 10730 11772 11752
h22 10132 12157 19030
i1 26862 28092 22247
i2 27927 26682 17997
i3 29005 25380 14650
i4 30135 23180 10687
i5 17485 17170 13212
i6 18775 16812 11112
i7 19830 16255 9707
i8 24027 14512 6925
i9 10612 10655 8780
i10 10867 10632 8417
i11 11070 10595 8045
i12 11485 10010 7000
i13 21855 9007 6542
i14 8780 18092 8492
i15 8107 13350 27460
i16 25265 28680 26990
i17 9057 25337 26265
i18 22420 14912 25412
i19 24902 18695 8087
i20 9642 11037 16132
i21 20862 20310 32307
i22 13062 10505 14042
j1 28855 33128 29025
j2 28780 31882 23815
j3 29250 30592 18955
j4 30422 27112 11007
j5 18775 20250 15502
j6 18562 19807 13052
j7 18487 19285 10995
j8 18775 18160 7905
j9 10430 10792 8855
j10 10315 10885 8492
j11 10217 10835 7937
j12 10025 10617 7137
j13 24602 9577 6680
j14 9120 20185 9120
j15 8320 14947 33170
j16 28417 33448 33448
j17 9577 29242 32085
j18 25755 17095 30742
j19 27695 21602 8747
j20 13180 10057 11922
j21 29155 26595 41963
j22 29675 34865 43125
k1 23410 28757 23112
k2 20542 28055 19190
k3 18210 27432 16410
k4 17197 27287 15342
k5 15322 18165 13680
k6 13852 18560 11860
k7 12595 19077 10527
k8 10250 19982 8630
k9 9940 10967 8842
k10 9482 11292 8522
k11 9087 11527 8087
k12 8450 12102 7437
k13 26467 10307 6862
k14 9547 22370 9707
k15 8492 16412 38200
k16 30197 36863 40663
k17 10240 32217 37998
k18 28332 20155 37243
k19 29100 24747 9822
k20 29505 33508 38148
k21 29547 34343 38105
k22 28505 31380 30145
l1 25180 31930 29515
l2 22227 31875 28590
l3 19755 31645 27672
l4 19157 31437 27055
l5 15865 21587 17485
l6 13415 23047 17047
l7 11527 24757 16537
l8 9855 26345 16080
l9 9780 11210 9345
l10 9205 11672 9355
l11 8715 12210 9345
l12 8235 12675 9227
l13 27842 11612 7287
l14 10132 24422 10825
l15 8812 18182 42848
l16 31200 39033 47388
l17 11102 33975 42910
l18 29890 24530 43848
l19 29442 27080 11325
l20 30080 36713 43413
l21 29410 35628 40545
l22 27352 33710 36220
gs0 7095 6365 5850
gs1 7575 7047 6435
gs2 8012 7585 6862
gs3 8535 8250 7320
gs4 9205 9020 7895
gs5 10015 9972 8672
gs6 10730 10847 9345
gs7 11720 12072 10400
gs8 12872 13217 11400
gs9 14065 14725 12902
gs10 15237 16105 14287
gs11 16655 18012 16237
gs12 18422 19910 18177
gs13 20362 22227 20127
gs14 22302 24635 22727
