patch r g b
a1 28519 27907 24767
a2 25322 29656 25444
a3 23462 31632 26717
a4 22763 31408 25879
a5 17874 15947 13355
a6 15740 17639 13985
a7 14176 19827 14698
a8 12468 22652 15087
a9 11215 7580 6057
a10 10615 7811 6314
a11 10056 8109 6599
a12 9593 8325 6773
a13 9226 5220 4052
a14 9043 5368 4149
a15 9039 5253 4185
a16 9050 5260 4062
a17 8988 5263 4178
a18 8983 5188 4046
a19 9296 5305 3951
a20 39719 40125 36819
a21 24105 34182 33297
a22 17892 31822 30904
b1 29505 29080 27557
b2 26939 31661 31321
b3 25071 33794 33536
b4 24349 34052 33725
b5 17806 17210 16267
b6 16272 19964 19712
b7 14757 23823 24283
b8 13250 28160 27965
b9 11273 7690 6377
b10 10622 8112 7153
b11 10161 8622 7926
b12 9714 8914 8466
b13 9984 5359 4103
b14 9116 5590 4161
b15 9142 5593 4893
b16 10165 6127 4852
b17 9129 5969 4836
b18 10031 5684 4786
b19 10005 5664 4027
b20 30789 37233 35903
b21 19640 33249 32240
b22 11733 11495 11087
c1 27346 24738 24591
c2 26208 27205 29807
c3 25736 29761 34373
c4 24957 29256 34767
c5 13808 11727 12104
c6 13255 14474 18639
c7 12826 18076 28218
c8 12724 20160 33483
c9 10580 7079 6119
c10 10181 7633 7339
c11 9883 8297 8863
c12 9682 8796 10081
c13 11020 5568 4157
c14 9264 5990 4244
c15 9166 5926 5651
c16 11289 7020 5670
c17 9278 6682 5577
c18 11048 6220 5579
c19 11028 6137 4045
c20 38214 39808 37818
c21 12851 16809 18371
c22 11153 9486 8876
d1 29158 25022 25525
d2 29437 26944 30761
d3 29867 28952 35882
d4 28604 27952 35896
d5 13590 10093 10535
d6 13981 12193 16581
d7 14726 15347 26462
d8 15432 18553 36739
d9 10181 6411 5469
d10 10118 6894 6749
d11 10134 7440 8218
d12 10635 9691 14974
d13 12230 5882 4304
d14 9389 6501 4370
d15 9162 6303 6543
d16 12555 8080 6608
d17 9468 7692 6579
d18 12207 6830 6507
d19 12270 6799 4211
d20 16711 22099 24353
d21 14351 11820 11563
d22 10815 8637 8293
e1 31418 25043 25811
e2 33547 27064 31939
e3 35811 28988 37296
e4 35338 28337 37752
e5 20143 14361 15413
e6 21849 16385 22127
e7 24278 19126 31435
e8 26886 21719 39828
e9 12251 7747 6854
e10 12648 8268 8276
e11 13101 8765 9665
e12 14843 10568 15170
e13 13518 6121 4330
e14 9568 7081 4440
e15 9240 6799 7792
e16 14219 9544 8032
e17 9733 8930 7906
e18 13616 7641 7937
e19 13833 7548 4377
e20 13004 23237 32373
e21 15595 20036 26390
e22 11971 12777 14969
f1 42224 34341 32697
f2 44832 34943 35213
f3 46422 35356 37814
f4 46841 34720 37710
f5 28074 17891 17657
f6 33420 18704 20489
f7 39287 20059 24434
f8 43526 21680 29793
f9 12608 7570 6283
f10 13223 7731 6699
f11 13913 7859 7110
f12 16168 8199 8165
f13 15227 6461 4384
f14 9726 7768 4551
f15 9347 7434 9483
f16 16605 11475 9932
f17 10059 10526 9458
f18 15457 8625 9636
f19 15907 8504 4576
f20 13417 11531 12150
f21 11431 11120 12982
f22 10770 9354 9999
g1 39167 27476 24326
g2 42965 27156 24214
g3 44558 26451 23720
g4 45102 25882 23427
g5 24733 14433 12763
g6 29536 14435 12712
g7 35198 14440 12565
g8 39534 14384 12157
g9 12747 7457 6000
g10 13614 7464 6061
g11 14456 7539 6143
g12 17301 7474 5930
g13 17015 6783 4439
g14 10015 8753 4764
g15 9561 8377 11862
g16 19563 14098 12340
g17 10516 12767 11637
g18 17549 9780 11960
g19 18439 9682 4775
g20 11506 9798 10929
g21 11739 11236 14758
g22 10969 15717 31526
h1 38219 26391 21460
h2 41655 25142 18793
h3 43940 24142 16797
h4 44098 22672 15498
h5 23828 13966 11015
h6 28086 13324 9403
h7 33363 12803 8023
h8 38036 12480 6892
h9 12746 7339 5562
h10 13382 7249 5325
h11 14218 7176 5073
h12 16814 6984 4385
h13 19410 7192 4475
h14 10332 10056 4963
h15 9808 9445 14718
h16 23525 17459 15426
h17 11065 15599 14151
h18 20459 11322 15052
h19 21950 11198 5007
h20 11138 9107 10859
h21 12676 8870 8222
h22 12402 10026 13447
i1 31435 21404 15603
i2 33449 19638 12075
i3 36188 18447 9750
i4 40390 16525 7083
i5 19094 12256 9236
i6 19906 11844 7899
i7 20701 11379 6845
i8 24748 10393 4862
i9 12316 7454 5644
i10 12391 7288 5279
i11 12601 7265 5061
i12 13016 6986 4383
i13 22151 7646 4549
i14 10748 11646 5194
i15 10097 10755 18399
i16 28605 22159 19573
i17 11732 19346 17260
i18 23968 13269 19186
i19 26654 13217 5387
i20 11647 8788 11033
i21 23104 17794 27460
i22 14784 8817 9983
j1 38256 30504 21783
j2 37955 28251 16686
j3 38971 26033 12780
j4 41851 20733 7226
j5 20483 14412 10750
j6 20090 13926 9077
j7 19848 13315 7506
j8 19946 12244 5243
j9 12134 7468 5610
j10 11884 7314 5250
j11 11773 7238 4911
j12 11738 7083 4382
j13 25561 8234 4648
j14 11228 13601 5544
j15 10463 12747 24202
j16 35647 29725 26886
j17 12535 24391 22468
j18 28716 16285 26008
j19 32815 15690 5859
j20 14714 8172 8269
j21 38889 24981 40135
j22 45477 36589 39797
k1 26494 22301 16052
k2 23673 22067 12968
k3 21338 22003 10732
k4 20231 22214 9961
k5 17196 12933 9500
k6 15711 12966 8061
k7 14526 13045 6905
k8 12313 13365 5292
k9 11653 7460 5582
k10 11085 7371 5196
k11 10751 7415 4910
k12 10049 7440 4412
k13 29414 8850 4696
k14 11848 15969 5984
k15 10929 15246 31444
k16 43569 39222 35632
k17 13579 30706 28217
k18 35060 20345 35050
k19 38783 18724 6492
k20 41237 31343 32353
k21 44941 36221 34030
k22 43349 30829 24804
l1 29820 28452 23301
l2 26240 29061 21642
l3 23942 29585 20316
l4 23196 29291 19501
l5 18143 15620 12017
l6 15875 16888 11218
l7 13957 18266 10232
l8 12332 20266 9500
l9 11501 7590 5858
l10 10839 7648 5748
l11 10305 7763 5558
l12 9766 7865 5472
l13 33343 9585 4793
l14 12593 18383 6455
l15 11501 17627 37758
l16 48454 46197 43229
l17 14941 36492 33479
l18 42277 24823 43250
l19 42422 22746 7680
l20 47337 44137 40203
l21 44975 42203 37219
l22 37216 37773 32699
gs0 8795 4743 3446
gs1 9284 5149 3743
gs2 9843 5579 4143
gs3 10479 6104 4631
gs4 11033 6531 5018
gs5 11806 7168 5624
gs6 12571 7811 6253
gs7 13506 8590 6979
gs8 14505 9462 7841
gs9 15671 10517 8840
gs10 16845 11489 9813
gs11 18350 12974 11292
gs12 20139 14394 12608
gs13 22363 16196 14188
gs14 24687 18144 15810
gs15 27495 20713 18350
gs16 30567 23826 20799
gs17 34100 27652 24446
gs18 37750 31833 28316
gs19 41646 36684 32958
gs20 44445 40790 37035
gs21 45161 42115 38464
gs22 45918 43251 40183
gs23 47088 44484 41368
