patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,12158.0,18440.0,13743.0,0,0,0,3.6,3.01,2.05
a2,11023.0,21221.0,14559.0,0,0,0,4.42,2.97,1.76
a3,10379.0,24099.0,15964.0,0,0,0,5.12,3.01,1.46
a4,10154.0,24278.0,15839.0,0,0,0,5.65,3.26,1.6
a5,7790.0,10193.0,7570.0,0,0,0,12.71,10.97,7.93
a6,6703.0,11325.0,8008.0,0,0,0,15.07,11.1,6.97
a7,5889.0,12956.0,8438.0,0,0,0,17.42,11.1,6.06
a8,5301.0,15964.0,9015.0,0,0,0,20.36,11.07,5.12
a9,4816.0,4800.0,3678.0,0,0,0,40.62,39.94,31.49
a10,4525.0,4881.0,3692.0,0,0,0,42.88,40.04,30.47
a11,4262.0,5024.0,3791.0,0,0,0,45.09,40.03,29.12
a12,4062.0,5143.0,3839.0,0,0,0,46.77,39.85,28.06
a13,3958.0,3242.0,2382.0,0,0,0,71.78,75.46,63.09
a14,3892.0,3368.0,2464.0,0,0,0,71.91,73.14,62.17
a15,3803.0,3171.0,2358.0,0,0,0,74.11,76.98,63.06
a16,3860.0,3229.0,2361.0,0,0,0,72.73,75.12,62.6
a17,3803.0,3165.0,2344.0,0,0,0,74.05,76.81,62.33
a18,3802.0,3136.0,2317.0,0,0,0,74.16,77.19,62.97
a19,3913.0,3181.0,2240.0,0,0,0,69.16,71.7,62.05
a20,16937.0,27027.0,21105.0,0,0,0,1.37,1.12,0.78
a21,10277.0,24111.0,20400.0,0,0,0,5.17,3.27,0.85
a22,7622.0,22742.0,19893.0,0,0,0,10.35,5.9,0.91
b1,12533.0,19153.0,15770.0,0,0,0,3.35,2.93,1.63
b2,11651.0,22302.0,18984.0,0,0,0,3.98,2.94,1.07
b3,10999.0,25182.0,22013.0,0,0,0,4.71,3.09,0.74
b4,10748.0,25946.0,22768.0,0,0,0,5.08,3.21,0.69
b5,7669.0,10898.0,9355.0,0,0,0,12.86,11.1,5.86
b6,6724.0,12542.0,11464.0,0,0,0,14.66,11.01,3.94
b7,6007.0,15464.0,14886.0,0,0,0,16.97,10.94,2.28
b8,5637.0,19889.0,19061.0,0,0,0,19.7,11.01,1.2
b9,4804.0,4817.0,3803.0,0,0,0,40.39,40.01,29.68
b10,4481.0,5018.0,4114.0,0,0,0,42.59,40.11,26.44
b11,4249.0,5213.0,4410.0,0,0,0,44.29,39.94,23.52
b12,4025.0,5324.0,4622.0,0,0,0,45.98,39.89,21.17
b13,4211.0,3258.0,2364.0,0,0,0,65.55,71.21,61.79
b14,3881.0,3445.0,2409.0,0,0,0,68.8,67.99,60.07
b15,3799.0,3321.0,2656.0,0,0,0,71.26,74.48,51.88
b16,4245.0,3646.0,2666.0,0,0,0,57.82,60.0,49.14
b17,3854.0,3586.0,2677.0,0,0,0,65.61,64.93,49.68
b18,4219.0,3395.0,2663.0,0,0,0,62.84,68.83,51.29
b19,4195.0,3379.0,2265.0,0,0,0,60.77,62.73,59.44
b20,13091.0,25907.0,21733.0,0,0,0,2.87,2.06,0.8
b21,8404.0,24106.0,20868.0,0,0,0,8.37,4.88,0.88
b22,4769.0,6782.0,6014.0,0,0,0,29.02,24.67,11.91
c1,11567.0,15820.0,13687.0,0,0,0,4.49,4.31,2.29
c2,11193.0,18062.0,17921.0,0,0,0,4.9,4.37,1.42
c3,11004.0,20533.0,23134.0,0,0,0,5.13,4.3,0.82
c4,10782.0,20379.0,23978.0,0,0,0,5.7,4.77,0.85
c5,5798.0,7199.0,6919.0,0,0,0,23.78,22.59,10.89
c6,5246.0,8550.0,10587.0,0,0,0,25.55,22.41,5.5
c7,4983.0,11098.0,17778.0,0,0,0,27.72,22.42,2.39
c8,5109.0,13531.0,24636.0,0,0,0,28.7,22.23,1.28
c9,4472.0,4409.0,3619.0,0,0,0,46.89,47.28,32.4
c10,4272.0,4670.0,4192.0,0,0,0,48.17,47.13,26.63
c11,4060.0,4882.0,4848.0,0,0,0,49.81,47.42,21.58
c12,3918.0,5087.0,5395.0,0,0,0,50.47,46.85,18.1
c13,4655.0,3363.0,2368.0,0,0,0,58.24,65.94,60.94
c14,3911.0,3665.0,2417.0,0,0,0,64.18,60.73,57.45
c15,3770.0,3468.0,3020.0,0,0,0,68.73,71.96,42.7
c16,4672.0,4123.0,3064.0,0,0,0,45.88,47.73,38.75
c17,3864.0,3968.0,3028.0,0,0,0,58.66,55.64,39.4
c18,4650.0,3671.0,3067.0,0,0,0,53.28,61.12,41.61
c19,4706.0,3734.0,2328.0,0,0,0,50.72,52.04,56.28
c20,16217.0,27150.0,23095.0,0,0,0,1.7,1.45,0.76
c21,5110.0,9990.0,10459.0,0,0,0,22.87,17.19,4.72
c22,4534.0,5535.0,4724.0,0,0,0,34.53,31.48,17.4
d1,12253.0,15592.0,14184.0,0,0,0,4.16,4.32,2.27
d2,12449.0,17117.0,18353.0,0,0,0,4.07,4.26,1.47
d3,12743.0,19055.0,24011.0,0,0,0,4.08,4.3,0.89
d4,12265.0,18577.0,24480.0,0,0,0,4.69,4.91,0.92
d5,5712.0,6112.0,5982.0,0,0,0,26.68,27.74,13.94
d6,5619.0,7073.0,9231.0,0,0,0,26.33,27.41,7.43
d7,5757.0,9027.0,15671.0,0,0,0,26.1,27.43,3.6
d8,6231.0,12432.0,26343.0,0,0,0,25.91,27.31,1.65
d9,4314.0,4028.0,3334.0,0,0,0,53.02,55.12,37.61
d10,4230.0,4198.0,3878.0,0,0,0,52.96,55.14,30.47
d11,4163.0,4404.0,4550.0,0,0,0,52.49,54.62,24.44
d12,4122.0,5374.0,7876.0,0,0,0,52.17,54.65,11.69
d13,5184.0,3469.0,2383.0,0,0,0,51.28,60.55,59.94
d14,3981.0,4017.0,2488.0,0,0,0,58.99,52.82,54.44
d15,3764.0,3684.0,3525.0,0,0,0,66.07,69.08,34.69
d16,5257.0,4756.0,3551.0,0,0,0,35.35,36.71,29.94
d17,3915.0,4510.0,3547.0,0,0,0,51.68,46.54,30.64
