patch r g b
a1 12158 18440 13743
a2 11023 21221 14559
a3 10379 24099 15964
a4 10154 24278 15839
a5 7790 10193 7570
a6 6703 11325 8008
a7 5889 12956 8438
a8 5301 15964 9015
a9 4816 4800 3678
a10 4525 4881 3692
a11 4262 5024 3791
a12 4062 5143 3839
a13 3958 3242 2382
a14 3892 3368 2464
a15 3803 3171 2358
a16 3860 3229 2361
a17 3803 3165 2344
a18 3802 3136 2317
a19 3913 3181 2240
a20 16937 27027 21105
a21 10277 24111 20400
a22 7622 22742 19893
b1 12533 19153 15770
b2 11651 22302 18984
b3 10999 25182 22013
b4 10748 25946 22768
b5 7669 10898 9355
b6 6724 12542 11464
b7 6007 15464 14886
b8 5637 19889 19061
b9 4804 4817 3803
b10 4481 5018 4114
b11 4249 5213 4410
b12 4025 5324 4622
b13 4211 3258 2364
b14 3881 3445 2409
b15 3799 3321 2656
b16 4245 3646 2666
b17 3854 3586 2677
b18 4219 3395 2663
b19 4195 3379 2265
b20 13091 25907 21733
b21 8404 24106 20868
b22 4769 6782 6014
c1 11567 15820 13687
c2 11193 18062 17921
c3 11004 20533 23134
c4 10782 20379 23978
c5 5798 7199 6919
c6 5246 8550 10587
c7 4983 11098 17778
c8 5109 13531 24636
c9 4472 4409 3619
c10 4272 4670 4192
c11 4060 4882 4848
c12 3918 5087 5395
c13 4655 3363 2368
c14 3911 3665 2417
c15 3770 3468 3020
c16 4672 4123 3064
c17 3864 3968 3028
c18 4650 3671 3067
c19 4706 3734 2328
c20 16217 27150 23095
c21 5110 9990 10459
c22 4534 5535 4724
d1 12253 15592 14184
d2 12449 17117 18353
d3 12743 19055 24011
d4 12265 18577 24480
d5 5712 6112 5982
d6 5619 7073 9231
d7 5757 9027 15671
d8 6231 12432 26343
d9 4314 4028 3334
d10 4230 4198 3878
d11 4163 4404 4550
d12 4122 5374 7876
d13 5184 3469 2383
d14 3981 4017 2488
d15 3764 3684 3525
d16 5257 4756 3551
d17 3915 4510 3547
d18 5131 3930 3463
d19 5331 4176 2426
d20 6816 13601 14274
d21 6001 6871 6021
d22 4380 4978 4364
e1 13229 15357 14146
e2 14303 16612 18811
e3 15488 18303 24461
e4 15319 18146 25349
e5 8657 8676 8420
e6 9262 9639 12217
e7 10317 11503 18703
e8 11672 14302 27630
e9 5237 4808 4058
e10 5294 4882 4535
e11 5496 5107 5279
e12 6059 5829 7902
e13 5799 3567 2371
e14 4077 4419 2556
e15 3735 3907 4125
e16 6032 5586 4200
e17 3950 5175 4127
e18 5793 4333 4155
e19 6127 4682 2511
e20 5225 15078 23090
e21 6284 11993 15633
e22 4641 7202 7876
f1 19642 21383 18202
f2 23040 21836 20615
f3 25564 22165 23094
f4 25958 21957 23766
f5 12057 10774 9580
f6 14853 10848 10983
f7 19390 11618 13214
f8 24317 12781 16575
f9 5410 4673 3713
f10 5676 4641 3778
f11 6032 4709 3977
f12 7197 4770 4423
f13 6749 3763 2414
f14 4126 4857 2615
f15 3694 4150 4873
f16 7059 6651 5002
f17 4052 6090 4987
f18 6669 4833 4977
f19 7270 5388 2623
f20 5543 6819 6551
f21 4571 6419 6969
f22 4312 5364 5264
g1 17671 16703 12963
g2 22052 16522 12857
g3 25462 16105 12713
g4 25861 15776 12591
g5 10875 8885 7072
g6 13304 8548 6761
g7 17869 8625 6772
g8 23496 8756 6558
g9 5433 4558 3474
g10 5888 4508 3449
g11 6365 4526 3437
g12 7924 4415 3289
g13 7794 3961 2438
g14 4199 5446 2656
g15 3643 4463 5849
g16 8228 8116 6100
g17 4156 7310 6051
g18 7663 5450 6104
g19 8558 6250 2754
g20 4652 5700 5872
g21 4593 6308 7785
g22 4176 9463 19894
h1 16891 16338 11267
h2 20875 15733 9950
h3 25304 15305 8869
h4 26261 14483 8348
h5 10617 8840 6244
h6 12951 8270 5274
h7 17292 8067 4655
h8 23783 8037 4022
h9 5463 4545 3297
h10 5822 4463 3125
h11 6238 4337 2896
h12 7681 4167 2479
h13 9083 4205 2459
h14 4327 6301 2770
h15 3667 4994 7330
h16 9682 10080 7569
h17 4295 8874 7430
h18 8861 6138 7507
h19 10183 7354 2940
h20 4455 5199 5747
h21 5244 5096 4253
h22 4843 5429 6824
i1 13336 13582 8291
