patch r g b
a1 1029 8316 24757
a2 1057 8586 25353
a3 1107 9066 26626
a4 1098 9048 26632
a5 566 4612 13501
a6 594 4875 14243
a7 624 5177 15032
a8 657 5540 16033
a9 275 2181 6299
a10 277 2241 6453
a11 285 2316 6682
a12 290 2364 6805
a13 185 1470 4222
a14 189 1492 4291
a15 185 1465 4211
a16 182 1440 4127
a17 185 1449 4189
a18 180 1406 4033
a19 176 1373 3936
a20 1404 11321 33616
a21 1297 10681 31689
a22 1241 10308 30602
b1 1137 9152 27129
b2 1254 10223 30172
b3 1340 10990 32456
b4 1359 11172 32998
b5 701 5747 16867
b6 851 7080 20764
b7 1050 8770 25739
b8 1197 10038 29409
b9 286 2286 6590
b10 305 2472 7134
b11 328 2672 7744
b12 354 2903 8413
b13 188 1479 4232
b14 188 1490 4255
b15 210 1689 4880
b16 209 1661 4775
b17 209 1665 4794
b18 207 1632 4720
b19 179 1382 3964
b20 1367 11190 33161
b21 1283 10691 31656
b22 459 3778 11101
c1 1039 8332 24691
c2 1227 9984 29659
c3 1400 11403 33843
c4 1416 11618 34332
c5 515 4215 12310
c6 813 6737 19980
c7 1189 9954 29463
c8 1360 11398 33901
c9 276 2206 6384
c10 315 2553 7385
c11 363 2968 8591
c12 409 3399 9903
c13 192 1471 4210
c14 189 1488 4230
c15 240 1944 5622
c16 237 1881 5421
c17 236 1911 5536
c18 238 1887 5475
c19 182 1395 3991
c20 1427 11609 34395
c21 791 6585 19500
c22 366 2979 8735
d1 1079 8603 25609
d2 1271 10209 30255
d3 1452 11775 34963
d4 1478 12044 35805
d5 449 3648 10705
d6 714 5812 17189
d7 1129 9291 27857
d8 1470 12146 36575
d9 252 2001 5802
d10 293 2359 6834
d11 343 2800 8123
d12 603 4991 14801
d13 192 1453 4159
d14 189 1490 4240
d15 275 2226 6457
d16 279 2213 6391
d17 268 2183 6302
d18 271 2164 6310
d19 185 1413 4025
d20 1024 8532 25286
d21 470 3826 11210
d22 340 2774 8155
e1 1086 8664 25668
e2 1329 10633 31665
e3 1509 12126 36092
e4 1545 12416 36824
e5 657 5289 15555
e6 958 7766 23020
e7 1299 10517 31653
e8 1564 12707 38280
e9 306 2417 7004
e10 351 2802 8137
e11 399 3227 9426
e12 609 4960 14674
e13 195 1455 4154
e14 189 1475 4179
e15 315 2589 7536
e16 327 2614 7558
e17 314 2563 7435
e18 318 2525 7406
e19 191 1438 4082
e20 1297 10918 32533
e21 1101 9179 27406
e22 619 5124 15172
