patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,12379.0,21255.0,16779.0,25217.0,16931.0,24757.0,1540.89555006,1394.0,1372.89184178
a2,10695.0,22755.0,17446.0,20757.0,18651.0,25353.0,1756.6170755,1383.0,1266.24466391
a3,9755.0,24042.0,18393.0,18294.0,20061.0,26626.0,1921.44012945,1375.0,1153.39805825
a4,9438.0,23862.0,18207.0,17701.0,20008.0,26632.0,2056.4045677,1440.0,1201.80097879
a5,7322.0,12177.0,9299.0,15052.0,9836.0,13501.0,4144.71662125,3701.0,3359.24856191
a6,6547.0,13439.0,9862.0,12932.0,11288.0,14243.0,4771.84104938,3739.0,3029.28240741
a7,6085.0,15182.0,10530.0,11417.0,13090.0,15032.0,5314.16666667,3682.0,2670.5
a8,5740.0,17693.0,11382.0,10052.0,15826.0,16033.0,5988.85311475,3643.0,2312.40918033
a9,4787.0,5643.0,4370.0,10249.0,4267.0,6299.0,12155.5568581,11980.0,10975.8147714
a10,4572.0,5824.0,4486.0,9675.0,4465.0,6453.0,12713.7809187,12000.0,10621.9081272
a11,4375.0,6084.0,4661.0,9152.0,4764.0,6682.0,13202.6743499,11930.0,10121.462766
a12,4219.0,6277.0,4747.0,8746.0,4982.0,6805.0,13693.3769322,11940.0,9860.08323424
a13,3834.0,3791.0,2927.0,8370.0,2770.0,4222.0,21174.6122449,22170.0,21290.9562682
a14,3760.0,3913.0,2990.0,8215.0,2918.0,4291.0,21130.7833284,21480.0,20883.1569613
a15,3702.0,3746.0,2920.0,8055.0,2753.0,4211.0,21783.4484761,22590.0,21199.8461538
a16,3739.0,3786.0,2886.0,8108.0,2800.0,4127.0,21326.0961313,21970.0,21094.2907386
a17,3720.0,3770.0,2911.0,8051.0,2784.0,4189.0,21655.848564,22410.0,20947.2062663
a18,3686.0,3680.0,2823.0,7963.0,2712.0,4033.0,21686.7024673,22510.0,21144.371553
a19,3817.0,3749.0,2761.0,8322.0,2811.0,3936.0,20181.7634855,20830.0,20725.0474215
a20,17101.0,28102.0,22733.0,35842.0,22096.0,33616.0,677.534555308,603.3,642.340452662
a21,9786.0,24589.0,21302.0,18318.0,19712.0,31689.0,1736.39698492,1221.0,651.825598581
a22,7568.0,23008.0,20597.0,13143.0,18475.0,30602.0,3086.12137203,1944.0,669.08707124
b1,12860.0,21902.0,18436.0,26305.0,17084.0,27129.0,1469.44946809,1371.0,1210.96897163
b2,11497.0,23757.0,20357.0,22578.0,18675.0,30172.0,1616.66187262,1361.0,1017.054887
b3,10540.0,25170.0,21925.0,19855.0,19986.0,32456.0,1779.34856974,1371.0,892.706576231
b4,10152.0,25245.0,22106.0,19042.0,20064.0,32998.0,1889.49837806,1421.0,880.005897965
b5,7236.0,12987.0,11370.0,14669.0,10037.0,16867.0,4135.86095346,3702.0,2667.24687855
b6,6694.0,14986.0,13972.0,12886.0,11488.0,20764.0,4610.41608294,3677.0,2015.18968899
b7,6334.0,17825.0,17241.0,11318.0,13741.0,25739.0,5131.65018264,3623.0,1425.17561113
b8,6116.0,20936.0,19741.0,10068.0,16451.0,29409.0,5745.68917749,3593.0,1030.71919192
b9,4789.0,5691.0,4563.0,10248.0,4256.0,6590.0,12015.8026467,11930.0,10375.2560414
b10,4555.0,5977.0,4930.0,9572.0,4486.0,7134.0,12482.5843015,11880.0,9301.3431567
b11,4354.0,6261.0,5321.0,9070.0,4720.0,7744.0,12913.716443,11850.0,8373.86744966
b12,4208.0,6556.0,5739.0,8655.0,4952.0,8413.0,13307.1124031,11830.0,7614.8255814
b13,4133.0,3871.0,2937.0,9117.0,2813.0,4232.0,19217.069371,20630.0,20793.7301587
b14,3798.0,4086.0,2975.0,8246.0,3126.0,4255.0,19972.9593693,19710.0,20080.5336568
b15,3735.0,3957.0,3329.0,8107.0,2849.0,4880.0,20622.7197117,21530.0,17536.7729415
b16,4197.0,4338.0,3335.0,9097.0,3200.0,4775.0,16861.7990654,17390.0,16536.7523364
b17,3827.0,4294.0,3349.0,8187.0,3220.0,4794.0,18892.7752028,18730.0,16635.6257242
b18,4122.0,4004.0,3279.0,8990.0,2847.0,4720.0,18277.5034868,19850.0,17242.0920502
b19,4089.0,3999.0,2782.0,8963.0,3065.0,3964.0,17538.2760736,17940.0,19552.398773
b20,13345.0,26670.0,22356.0,26819.0,21174.0,33161.0,1053.00981267,827.4,579.893487957
b21,8154.0,23915.0,21224.0,14509.0,19237.0,31656.0,2565.17791411,1644.0,593.626643295
b22,4929.0,8511.0,7521.0,9990.0,6578.0,11101.0,8353.68619934,7262.0,4269.30832421
c1,11779.0,18743.0,16709.0,24190.0,14112.0,24691.0,1768.28067701,1735.0,1390.93653032
c2,11155.0,20458.0,19722.0,22331.0,15114.0,29659.0,1520.63736829,1376.0,639.728604472
c3,10819.0,22042.0,22312.0,21220.0,15993.0,33843.0,1719.22832443,1511.0,611.622679888
c4,10402.0,21637.0,22632.0,20288.0,15499.0,34332.0,1782.17157712,1551.0,506.887843526
c5,5701.0,8542.0,8219.0,11862.0,6175.0,12310.0,6812.41986337,6531.0,3816.32790331
c6,5473.0,10566.0,12977.0,10778.0,6829.0,19980.0,7333.96819961,6614.0,2231.09246575
c7,5404.0,13011.0,18951.0,9871.0,7454.0,29463.0,7802.91824197,6565.0,1144.84168242
c8,5456.0,14406.0,21930.0,9665.0,7982.0,33901.0,8135.79843861,6639.0,931.3761533
c9,4480.0,5222.0,4385.0,9602.0,3812.0,6384.0,13562.9642058,13670.0,10994.1051454
