patch r g b
a1 25217 3828 512
a2 20757 3164 414
a3 18294 2801 360
a4 17701 2704 345
a5 15052 2301 294
a6 12932 1982 247
a7 11417 1756 218
a8 10052 1553 190
a9 10249 1564 196
a10 9675 1484 184
a11 9152 1405 174
a12 8746 1341 165
a13 8370 1282 156
a14 8215 1252 153
a15 8055 1233 151
a16 8108 1238 150
a17 8051 1230 150
a18 7963 1219 147
a19 8322 1270 155
a20 35842 5362 748
a21 18318 2788 361
a22 13143 2015 253
b1 26305 3989 535
b2 22578 3431 452
b3 19855 3030 393
b4 19042 2906 375
b5 14669 2241 286
b6 12886 1972 247
b7 11318 1740 215
b8 10068 1551 190
b9 10248 1569 197
b10 9572 1470 183
b11 9070 1387 171
b12 8655 1324 161
b13 9117 1389 172
b14 8246 1260 153
b15 8107 1238 152
b16 9097 1387 171
b17 8187 1254 152
b18 8990 1369 169
b19 8963 1369 168
b20 26819 4046 546
b21 14509 2217 281
b22 9990 1529 187
c1 24190 3674 490
c2 22331 3389 449
c3 21220 3229 425
c4 20288 3094 406
c5 11862 1813 227
c6 10778 1649 207
c7 9871 1516 187
c8 9665 1481 185
c9 9602 1468 184
c10 9161 1403 174
c11 8687 1332 163
c12 8385 1282 157
c13 10045 1535 194
c14 8332 1275 157
c15 8114 1242 152
c16 10062 1533 191
c17 8294 1268 155
c18 9883 1507 187
c19 10012 1527 190
c20 34561 5181 715
c21 10254 1573 194
c22 9720 1486 184
d1 26410 3996 540
d2 26773 4044 549
d3 27217 4111 558
d4 25822 3910 528
d5 11995 1832 231
d6 11734 1787 227
d7 11681 1782 225
d8 11996 1828 233
d9 9244 1414 177
d10 9102 1393 171
d11 8973 1372 171
d12 8765 1337 165
d13 11118 1693 213
d14 8441 1292 158
d15 8045 1227 150
d16 11305 1716 216
d17 8327 1274 154
d18 10933 1661 210
d19 11148 1697 213
d20 12865 1964 245
d21 12314 1876 235
d22 9487 1454 179
e1 29379 4437 609
e2 31806 4784 662
e3 34126 5131 718
e4 34024 5111 718
e5 17568 2660 349
e6 19105 2892 383
e7 21536 3250 439
e8 25009 3751 517
e9 11135 1692 215
e10 11371 1732 220
e11 11701 1780 227
e12 12678 1922 247
e13 12391 1883 240
e14 8532 1303 160
e15 7972 1219 150
e16 12607 1913 243
e17 8475 1296 159
e18 12150 1844 235
e19 12584 1909 242
e20 9656 1479 180
e21 12052 1842 229
e22 9711 1485 183
f1 38611 5786 814
f2 40711 6098 864
f3 41961 6267 896
f4 42543 6350 907
f5 27256 4098 563
f6 33696 5049 712
