patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,2996.0,5159.0,4065.0,0,0,0,3.6,3.01,2.05
a2,2597.0,5533.0,4230.0,0,0,0,4.42,2.97,1.76
a3,2362.0,5818.0,4438.0,0,0,0,5.12,3.01,1.46
a4,2289.0,5779.0,4402.0,0,0,0,5.65,3.26,1.6
a5,1773.0,2948.0,2250.0,0,0,0,12.71,10.97,7.93
a6,1588.0,3259.0,2383.0,0,0,0,15.07,11.1,6.97
a7,1474.0,3677.0,2555.0,0,0,0,17.42,11.1,6.06
a8,1392.0,4282.0,2766.0,0,0,0,20.36,11.07,5.12
a9,1160.0,1369.0,1063.0,0,0,0,40.62,39.94,31.49
a10,1109.0,1409.0,1087.0,0,0,0,42.88,40.04,30.47
a11,1061.0,1474.0,1125.0,0,0,0,45.09,40.03,29.12
a12,1024.0,1521.0,1150.0,0,0,0,46.77,39.85,28.06
a13,929.0,918.0,710.0,0,0,0,71.78,75.46,63.09
a14,911.0,948.0,724.0,0,0,0,71.91,73.14,62.17
a15,896.0,907.0,707.0,0,0,0,74.11,76.98,63.06
a16,908.0,918.0,700.0,0,0,0,72.73,75.12,62.6
a17,902.0,914.0,703.0,0,0,0,74.05,76.81,62.33
a18,894.0,891.0,682.0,0,0,0,74.16,77.19,62.97
a19,925.0,908.0,666.0,0,0,0,69.16,71.7,62.05
a20,4132.0,6823.0,5492.0,0,0,0,1.37,1.12,0.78
a21,2369.0,5949.0,5152.0,0,0,0,5.17,3.27,0.85
a22,1832.0,5577.0,4999.0,0,0,0,10.35,5.9,0.91
b1,3127.0,5340.0,4477.0,0,0,0,3.35,2.93,1.63
b2,2799.0,5784.0,4972.0,0,0,0,3.98,2.94,1.07
b3,2544.0,6084.0,5320.0,0,0,0,4.71,3.09,0.74
b4,2464.0,6126.0,5384.0,0,0,0,5.08,3.21,0.69
b5,1750.0,3144.0,2739.0,0,0,0,12.86,11.1,5.86
b6,1618.0,3622.0,3382.0,0,0,0,14.66,11.01,3.94
b7,1537.0,4319.0,4178.0,0,0,0,16.97,10.94,2.28
b8,1486.0,5102.0,4806.0,0,0,0,19.7,11.01,1.2
b9,1161.0,1378.0,1106.0,0,0,0,40.39,40.01,29.68
b10,1102.0,1449.0,1195.0,0,0,0,42.59,40.11,26.44
b11,1056.0,1516.0,1290.0,0,0,0,44.29,39.94,23.52
b12,1019.0,1590.0,1394.0,0,0,0,45.98,39.89,21.17
b13,1002.0,938.0,714.0,0,0,0,65.55,71.21,61.79
b14,920.0,990.0,721.0,0,0,0,68.8,67.99,60.07
b15,904.0,956.0,802.0,0,0,0,71.26,74.48,51.88
b16,1017.0,1051.0,806.0,0,0,0,57.82,60.0,49.14
b17,927.0,1039.0,812.0,0,0,0,65.61,64.93,49.68
b18,998.0,969.0,793.0,0,0,0,62.84,68.83,51.29
b19,991.0,967.0,670.0,0,0,0,60.77,62.73,59.44
b20,3226.0,6463.0,5429.0,0,0,0,2.87,2.06,0.8
b21,1976.0,5793.0,5142.0,0,0,0,8.37,4.88,0.88
b22,1194.0,2063.0,1823.0,0,0,0,29.02,24.67,11.91
c1,2850.0,4534.0,4029.0,0,0,0,4.49,4.31,2.29
