patch r g b
a1 26287 33740 35973
a2 22632 36133 37433
a3 20650 38423 39650
a4 20022 38170 39043
a5 15907 19670 19585
a6 14172 21817 20875
a7 13020 24545 22322
a8 12105 28555 23890
a9 10400 9050 9057
a10 9910 9365 9205
a11 9515 9795 9557
a12 9172 10115 9822
a13 8470 6097 5977
a14 8300 6285 6062
a15 8117 5960 5912
a16 8130 5982 5807
a17 8045 5917 5827
a18 7905 5747 5625
a19 8182 5862 5572
a20 35035 42623 48015
a21 20022 37530 44563
a22 15375 34893 42485
b1 27310 34795 39438
b2 24252 37678 43635
b3 22302 40235 47238
b4 21482 40278 47898
b5 15717 21022 24060
b6 14437 24210 29570
b7 13565 28822 36613
b8 12807 33580 42198
b9 10462 9187 9407
b10 9897 9595 10132
b11 9482 10075 10985
b12 9162 10580 11922
b13 9035 6142 6030
b14 8385 6595 6115
b15 8225 6337 6807
b16 9110 6840 6722
b17 8267 6792 6765
b18 8865 6237 6562
b19 8822 6290 5625
b20 27512 40870 47450
b21 16730 36688 44413
b22 10377 13125 15280
c1 24945 29777 35538
c2 23687 32382 42218
c3 23037 35008 48025
c4 22280 34560 48783
c5 12497 13840 17272
c6 11912 16957 27160
c7 11635 20607 39863
c8 11667 22625 46225
c9 9812 8417 9057
c10 9505 8895 10400
c11 9120 9402 12105
c12 8897 9910 13725
c13 9995 6355 6052
c14 8492 7032 6125
c15 8267 6672 7830
c16 10057 7797 7725
c17 8460 7655 7735
c18 9727 6710 7627
c19 9802 6882 5742
c20 34130 42760 49465
c21 11347 19252 26340
c22 9910 10600 12040
d1 26937 29722 36698
d2 27332 31747 43443
d3 27982 33470 49795
d4 26810 32590 50478
d5 12392 11677 14885
d6 12467 13782 23677
d7 12872 16642 37093
d8 13532 19142 48558
d9 9440 7547 8235
d10 9387 7937 9610
d11 9270 8320 11295
d12 9365 10142 19830
d13 10965 6482 6062
d14 8630 7685 6242
d15 8215 6957 8875
d16 11325 9130 9077
d17 8610 8692 8865
