patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,26287.0,33740.0,35973.0,0,0,0,1540.89555006,1394.0,1372.89184178
a2,22632.0,36133.0,37433.0,0,0,0,1756.6170755,1383.0,1266.24466391
a3,20650.0,38423.0,39650.0,0,0,0,1921.44012945,1375.0,1153.39805825
a4,20022.0,38170.0,39043.0,0,0,0,2056.4045677,1440.0,1201.80097879
a5,15907.0,19670.0,19585.0,0,0,0,4144.71662125,3701.0,3359.24856191
a6,14172.0,21817.0,20875.0,0,0,0,4771.84104938,3739.0,3029.28240741
a7,13020.0,24545.0,22322.0,0,0,0,5314.16666667,3682.0,2670.5
a8,12105.0,28555.0,23890.0,0,0,0,5988.85311475,3643.0,2312.40918033
a9,10400.0,9050.0,9057.0,0,0,0,12155.5568581,11980.0,10975.8147714
a10,9910.0,9365.0,9205.0,0,0,0,12713.7809187,12000.0,10621.9081272
a11,9515.0,9795.0,9557.0,0,0,0,13202.6743499,11930.0,10121.462766
a12,9172.0,10115.0,9822.0,0,0,0,13693.3769322,11940.0,9860.08323424
a13,8470.0,6097.0,5977.0,0,0,0,21174.6122449,22170.0,21290.9562682
a14,8300.0,6285.0,6062.0,0,0,0,21130.7833284,21480.0,20883.1569613
a15,8117.0,5960.0,5912.0,0,0,0,21783.4484761,22590.0,21199.8461538
a16,8130.0,5982.0,5807.0,0,0,0,21326.0961313,21970.0,21094.2907386
a17,8045.0,5917.0,5827.0,0,0,0,21655.848564,22410.0,20947.2062663
a18,7905.0,5747.0,5625.0,0,0,0,21686.7024673,22510.0,21144.371553
a19,8182.0,5862.0,5572.0,0,0,0,20181.7634855,20830.0,20725.0474215
a20,35035.0,42623.0,48015.0,0,0,0,677.534555308,603.3,642.340452662
a21,20022.0,37530.0,44563.0,0,0,0,1736.39698492,1221.0,651.825598581
a22,15375.0,34893.0,42485.0,0,0,0,3086.12137203,1944.0,669.08707124
b1,27310.0,34795.0,39438.0,0,0,0,1469.44946809,1371.0,1210.96897163
b2,24252.0,37678.0,43635.0,0,0,0,1616.66187262,1361.0,1017.054887
b3,22302.0,40235.0,47238.0,0,0,0,1779.34856974,1371.0,892.706576231
b4,21482.0,40278.0,47898.0,0,0,0,1889.49837806,1421.0,880.005897965
b5,15717.0,21022.0,24060.0,0,0,0,4135.86095346,3702.0,2667.24687855
b6,14437.0,24210.0,29570.0,0,0,0,4610.41608294,3677.0,2015.18968899
b7,13565.0,28822.0,36613.0,0,0,0,5131.65018264,3623.0,1425.17561113
b8,12807.0,33580.0,42198.0,0,0,0,5745.68917749,3593.0,1030.71919192
b9,10462.0,9187.0,9407.0,0,0,0,12015.8026467,11930.0,10375.2560414
b10,9897.0,9595.0,10132.0,0,0,0,12482.5843015,11880.0,9301.3431567
b11,9482.0,10075.0,10985.0,0,0,0,12913.716443,11850.0,8373.86744966
b12,9162.0,10580.0,11922.0,0,0,0,13307.1124031,11830.0,7614.8255814
b13,9035.0,6142.0,6030.0,0,0,0,19217.069371,20630.0,20793.7301587
b14,8385.0,6595.0,6115.0,0,0,0,19972.9593693,19710.0,20080.5336568
b15,8225.0,6337.0,6807.0,0,0,0,20622.7197117,21530.0,17536.7729415
b16,9110.0,6840.0,6722.0,0,0,0,16861.7990654,17390.0,16536.7523364
b17,8267.0,6792.0,6765.0,0,0,0,18892.7752028,18730.0,16635.6257242
b18,8865.0,6237.0,6562.0,0,0,0,18277.5034868,19850.0,17242.0920502
b19,8822.0,6290.0,5625.0,0,0,0,17538.2760736,17940.0,19552.398773
b20,27512.0,40870.0,47450.0,0,0,0,1053.00981267,827.4,579.893487957
b21,16730.0,36688.0,44413.0,0,0,0,2565.17791411,1644.0,593.626643295
b22,10377.0,13125.0,15280.0,0,0,0,8353.68619934,7262.0,4269.30832421
c1,24945.0,29777.0,35538.0,0,0,0,1768.28067701,1735.0,1390.93653032
c2,23687.0,32382.0,42218.0,0,0,0,1520.63736829,1376.0,639.728604472
c3,23037.0,35008.0,48025.0,0,0,0,1719.22832443,1511.0,611.622679888
c4,22280.0,34560.0,48783.0,0,0,0,1782.17157712,1551.0,506.887843526
c5,12497.0,13840.0,17272.0,0,0,0,6812.41986337,6531.0,3816.32790331
c6,11912.0,16957.0,27160.0,0,0,0,7333.96819961,6614.0,2231.09246575
c7,11635.0,20607.0,39863.0,0,0,0,7802.91824197,6565.0,1144.84168242
c8,11667.0,22625.0,46225.0,0,0,0,8135.79843861,6639.0,931.3761533
c9,9812.0,8417.0,9057.0,0,0,0,13562.9642058,13670.0,10994.1051454
c10,9505.0,8895.0,10400.0,0,0,0,13809.5832213,13630.0,9210.0537779
c11,9120.0,9402.0,12105.0,0,0,0,14117.4164291,13630.0,7572.61466701
c12,8897.0,9910.0,13725.0,0,0,0,14248.7484165,13490.0,6439.10818343
c13,9995.0,6355.0,6052.0,0,0,0,16961.1124331,18770.0,20098.7507436
c14,8492.0,7032.0,6125.0,0,0,0,18146.2688442,17160.0,18588.2035176
c15,8267.0,6672.0,7830.0,0,0,0,19267.009544,20210.0,14101.9936373
c16,10057.0,7797.0,7725.0,0,0,0,13117.1403662,13530.0,12672.8247602
c17,8460.0,7655.0,7735.0,0,0,0,16403.1257176,15670.0,12903.9121699
c18,9727.0,6710.0,7627.0,0,0,0,15119.7481918,17140.0,13655.0656309
c19,9802.0,6882.0,5742.0,0,0,0,14366.1102159,14530.0,17929.5423783
c20,34130.0,42760.0,49465.0,0,0,0,698.445505618,609.9,495.025280899
c21,11347.0,19252.0,26340.0,0,0,0,6467.26647261,5060.0,1862.51918497
