patch r g b
a1 26915 33298 36335
a2 23720 34743 37445
a3 21620 35548 38500
a4 20895 35488 38425
a5 16440 21160 22227
a6 14385 23062 23462
a7 13212 25430 24752
a8 12275 28230 26235
a9 10570 9962 10025
a10 10037 10292 10155
a11 9577 10670 10335
a12 9322 11052 10707
a13 8577 6465 6425
a14 8352 6615 6382
a15 8247 6355 6327
a16 8257 6385 6317
a17 8075 6215 6190
a18 7980 6045 6010
a19 8150 6097 5742
a20 30870 37103 42645
a21 20490 34253 40205
a22 14875 31620 37998
b1 27535 33910 38893
b2 25350 35435 40983
b3 23197 36628 42623
b4 22407 36793 43113
b5 16100 22205 26020
b6 14597 25115 31307
b7 13637 28657 36060
b8 12935 31712 39225
b9 10580 10080 10495
b10 10057 10642 11475
b11 9665 11102 12265
b12 9407 11720 13340
b13 9172 6615 6487
b14 8437 6935 6435
b15 8247 6622 7127
b16 9130 7330 7265
b17 8267 7120 7127
b18 8790 6505 6915
b19 8747 6557 5902
b20 27075 36443 42528
b21 16302 33043 38980
b22 10282 13835 16537
c1 25755 30837 36293
c2 24752 32562 40248
c3 24027 33943 43273
c4 23432 33538 43263
c5 12510 14995 19157
c6 11987 18007 28695
c7 11762 20960 37360
c8 11805 22332 40493
c9 9962 9262 10100
c10 9620 9795 11582
c11 9322 10392 13595
c12 9237 11090 15355
c13 9995 6775 6637
c14 8555 7480 6552
c15 8300 6967 8140
c16 10015 8332 8352
c17 8460 8075 8267
c18 9610 6997 8097
c19 9642 7175 6040
c20 30602 37423 43413
c21 11272 19850 27535
c22 9812 11320 12957
d1 27150 30837 36933
d2 27705 32122 40865
d3 28100 33183 44210
d4 27172 32387 44190
d5 12370 12785 16537
d6 12497 14980 25712
d7 12935 17255 36005
d8 13510 18700 42250
d9 9590 8315 9195
d10 9492 8687 10762
d11 9430 9135 12637
d12 9632 11225 21822
d13 10942 6897 6690
d14 8705 8230 6712
d15 8332 7372 9492
d16 11145 9685 9812
d17 8662 9295 9535
d18 10580 7515 9332
d19 10645 7947 6242
d20 14140 25355 34558
d21 12307 13982 16792
d22 9472 10110 11902
e1 28577 30847 37263
e2 30165 31765 41878
e3 31360 32510 44755
e4 31167 31972 45363
e5 18647 18122 24210
e6 20480 19760 32968
e7 23015 21112 40705
e8 25850 22125 45798
e9 11370 9945 11325
e10 11625 10180 12775
e11 11955 10595 14822
e12 13137 11927 22482
e13 12190 7100 6615
e14 8885 9172 6850
e15 8395 7920 11295
e16 12605 11522 11667
e17 8940 10942 11422
e18 11772 8235 11177
e19 12082 8927 6392
e20 11625 24630 38563
e21 13255 22370 35463
e22 10367 15032 21930
f1 32968 36555 41610
f2 33875 36783 43635
f3 34355 36763 44808
f4 34558 36858 45393
f5 26585 22877 28012
f6 29985 23207 31690
f7 32137 23810 36123
f8 33405 24635 40898
f9 11645 9620 10185
f10 12222 9550 10590
f11 12775 9477 10877
f12 15152 9312 12177
f13 13947 7250 6660
f14 9110 10325 7075
f15 8460 8560 13447
f16 14735 13925 14607
f17 9322 13152 14022
f18 13585 9145 13532
f19 14330 10292 6765
f20 11625 13852 18017
f21 10047 13195 19085
f22 9525 11017 14522
g1 31807 32707 36283
g2 32968 32642 36538
g3 33618 32077 36485
g4 33820 31752 35665
g5 24112 18440 20287
g6 28087 18017 20075
g7 30870 17787 20522
g8 31987 17607 20542
g9 11762 9455 9642
g10 12530 9220 9590
g11 13350 9040 9525
g12 16772 8437 9077
g13 16270 7490 6712
g14 9417 11832 7352
g15 8545 9365 16675
g16 17495 17037 18145
g17 9760 15840 17315
g18 15940 10435 17027
g19 17315 12092 7075
g20 10122 11587 15897
g21 10165 12930 21407
g22 9430 15130 36208
h1 31412 32210 33235
h2 32510 31210 30315
h3 33225 30565 27737
h4 33330 29345 25530
h5 23517 18215 17697
h6 27470 17112 15280
h7 30272 16345 13405
h8 31902 15770 12135
h9 11772 9392 9195
h10 12307 9087 8555
h11 13052 8747 8012
h12 16080 8037 6807
h13 19382 7835 6712
h14 9845 13680 7660
h15 8630 10397 20660
h16 21427 21320 23015
h17 10282 18982 21685
h18 18977 11932 21322
h19 21140 14170 7565
h20 9750 10490 15770
h21 11060 10335 11880
h22 10547 11075 19265
i1 28535 27790 25445
i2 29890 26462 20235
i3 31200 25072 16600
i4 32595 22877 12337
i5 18145 16062 14672
i6 19402 15647 12690
i7 20542 15257 11177
i8 25285 13685 8117
i9 11262 9520 9100
i10 11370 9365 8555
i11 11485 9195 7990
i12 11730 8687 6840
i13 22590 8172 6755
i14 10250 15897 8097
i15 8832 11795 25680
i16 25605 27087 29325
i17 10942 23010 27075
i18 22462 13882 26820
i19 25340 16915 8140
i20 9995 9662 15397
i21 20385 18475 35048
i22 12615 9262 13882
j1 31667 34993 33640
j2 31657 33853 27450
j3 32127 32402 21300
j4 33363 28412 12275
j5 19402 19012 17305
j6 19190 18677 14662
j7 19190 18200 12317
j8 19435 17197 8725
j9 11060 9507 8970
j10 10900 9482 8450
j11 10815 9385 7852
j12 10645 9087 6862
j13 25755 8612 6797
j14 10762 18332 8587
j15 9087 13397 32052
j16 30122 33405 36943
j17 11742 27597 33150
j18 26150 16372 33928
j19 28835 20372 8855
j20 12732 8715 11370
j21 30112 23857 42985
j22 32115 34625 42868
k1 25040 29292 26457
k2 22120 28945 21407
k3 19722 28775 17890
k4 18700 29067 16612
k5 15897 17107 15332
k6 14532 17545 13095
k7 13532 18050 11582
k8 11847 18912 8970
k9 10645 9540 8917
k10 10250 9667 8300
k11 9962 9832 7820
k12 9440 9997 7000
k13 27960 9307 7052
k14 11390 21172 9290
k15 9322 14825 37073
k16 32863 37823 42858
k17 12615 31587 37795
k18 29302 19212 40620
k19 30955 24415 9897
k20 31220 32505 39523
k21 32212 35115 40395
k22 31030 32137 33960
l1 27375 33773 34600
l2 24347 34268 33448
l3 21780 34243 31915
l4 21002 34103 31625
l5 16495 20522 19382
l6 14362 22275 18390
l7 13085 24007 17102
l8 12125 25982 16067
l9 10462 9657 9205
l10 10015 9940 9045
l11 9665 10270 8917
l12 9260 10457 8522
l13 29387 10387 7437
l14 12092 23970 10250
l15 9675 16040 39885
l16 34215 39873 45735
l17 13522 33913 40290
l18 31252 22562 44585
l19 31807 27747 11527
l20 32853 37758 43050
l21 32297 37230 41973
l22 29792 35553 39970
gs0 8097 6007 5690
gs1 8577 6547 6275
gs2 9015 6977 6765
gs3 9515 7560 7372
gs4 10015 8197 8075
gs5 10707 9025 9025
gs6 11390 9870 9910
gs7 12210 10895 10890
gs8 13085 11805 11965
gs9 14172 13195 13680
gs10 15322 14410 14950
gs11 16792 16152 16932
gs12 18520 17805 18882
gs13 20405 19897 21172
gs14 22355 22427 23890
gs15 24677 25312 27257
gs16 26980 28477 30582
gs17 29015 31337 34290
gs18 30507 33735 37465
gs19 31285 35398 39830
gs20 31902 36283 41185
gs21 31667 36150 41580
gs22 31625 36113 41940
gs23 31562 35915 41525
