patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,24732.0,29952.0,33460.0,0,0,0,1540.89555006,1394.0,1372.89184178
a2,23292.0,30212.0,33918.0,0,0,0,1756.6170755,1383.0,1266.24466391
a3,21917.0,30522.0,34375.0,0,0,0,1921.44012945,1375.0,1153.39805825
a4,21385.0,30387.0,34140.0,0,0,0,2056.4045677,1440.0,1201.80097879
a5,17495.0,22440.0,24027.0,0,0,0,4144.71662125,3701.0,3359.24856191
a6,14970.0,23757.0,25445.0,0,0,0,4771.84104938,3739.0,3029.28240741
a7,13287.0,25035.0,26352.0,0,0,0,5314.16666667,3682.0,2670.5
a8,12007.0,26025.0,27055.0,0,0,0,5988.85311475,3643.0,2312.40918033
a9,10410.0,10842.0,11210.0,0,0,0,12155.5568581,11980.0,10975.8147714
a10,9887.0,11210.0,11390.0,0,0,0,12713.7809187,12000.0,10621.9081272
a11,9515.0,11650.0,11870.0,0,0,0,13202.6743499,11930.0,10121.462766
a12,9227.0,12002.0,12210.0,0,0,0,13693.3769322,11940.0,9860.08323424
a13,8502.0,7085.0,7202.0,0,0,0,21174.6122449,22170.0,21290.9562682
a14,8182.0,7110.0,7052.0,0,0,0,21130.7833284,21480.0,20883.1569613
a15,8012.0,6710.0,6830.0,0,0,0,21783.4484761,22590.0,21199.8461538
a16,8012.0,6717.0,6702.0,0,0,0,21326.0961313,21970.0,21094.2907386
a17,7830.0,6557.0,6615.0,0,0,0,21655.848564,22410.0,20947.2062663
a18,7777.0,6375.0,6457.0,0,0,0,21686.7024673,22510.0,21144.371553
a19,7947.0,6535.0,6340.0,0,0,0,20181.7634855,20830.0,20725.0474215
a20,25402.0,30117.0,34920.0,0,0,0,677.534555308,603.3,642.340452662
a21,20470.0,28690.0,33918.0,0,0,0,1736.39698492,1221.0,651.825598581
a22,14705.0,26910.0,31967.0,0,0,0,3086.12137203,1944.0,669.08707124
b1,25105.0,30447.0,34653.0,0,0,0,1469.44946809,1371.0,1210.96897163
b2,24187.0,30847.0,35483.0,0,0,0,1616.66187262,1361.0,1017.054887
b3,23037.0,31125.0,35920.0,0,0,0,1779.34856974,1371.0,892.706576231
b4,22495.0,30965.0,36028.0,0,0,0,1889.49837806,1421.0,880.005897965
b5,17070.0,23350.0,27555.0,0,0,0,4135.86095346,3702.0,2667.24687855
b6,15162.0,25237.0,30295.0,0,0,0,4610.41608294,3677.0,2015.18968899
b7,13617.0,27037.0,32532.0,0,0,0,5131.65018264,3623.0,1425.17561113
b8,12380.0,27832.0,33278.0,0,0,0,5745.68917749,3593.0,1030.71919192
b9,10442.0,10972.0,11720.0,0,0,0,12015.8026467,11930.0,10375.2560414
b10,9887.0,11542.0,12902.0,0,0,0,12482.5843015,11880.0,9301.3431567
b11,9577.0,12162.0,14032.0,0,0,0,12913.716443,11850.0,8373.86744966
b12,9322.0,12722.0,15025.0,0,0,0,13307.1124031,11830.0,7614.8255814
b13,9087.0,7207.0,7212.0,0,0,0,19217.069371,20630.0,20793.7301587
b14,8267.0,7532.0,7137.0,0,0,0,19972.9593693,19710.0,20080.5336568
b15,8117.0,7175.0,7895.0,0,0,0,20622.7197117,21530.0,17536.7729415
b16,8897.0,7797.0,7960.0,0,0,0,16861.7990654,17390.0,16536.7523364
b17,8107.0,7617.0,7830.0,0,0,0,18892.7752028,18730.0,16635.6257242
b18,8577.0,6855.0,7532.0,0,0,0,18277.5034868,19850.0,17242.0920502
b19,8427.0,6925.0,6382.0,0,0,0,17538.2760736,17940.0,19552.398773
b20,24112.0,29862.0,34940.0,0,0,0,1053.00981267,827.4,579.893487957
b21,16440.0,27810.0,33085.0,0,0,0,2565.17791411,1644.0,593.626643295
b22,10047.0,14382.0,17975.0,0,0,0,8353.68619934,7262.0,4269.30832421
c1,24200.0,29025.0,33565.0,0,0,0,1768.28067701,1735.0,1390.93653032
c2,23825.0,29812.0,35260.0,0,0,0,1520.63736829,1376.0,639.728604472
c3,23697.0,30302.0,36465.0,0,0,0,1719.22832443,1511.0,611.622679888
c4,23292.0,30175.0,36423.0,0,0,0,1782.17157712,1551.0,506.887843526
c5,12892.0,16350.0,21482.0,0,0,0,6812.41986337,6531.0,3816.32790331
c6,12210.0,18960.0,28770.0,0,0,0,7333.96819961,6614.0,2231.09246575
c7,11657.0,20750.0,32980.0,0,0,0,7802.91824197,6565.0,1144.84168242
c8,11442.0,21450.0,33865.0,0,0,0,8135.79843861,6639.0,931.3761533
c9,9792.0,9997.0,11145.0,0,0,0,13562.9642058,13670.0,10994.1051454
c10,9515.0,10722.0,13052.0,0,0,0,13809.5832213,13630.0,9210.0537779
c11,9312.0,11437.0,15247.0,0,0,0,14117.4164291,13630.0,7572.61466701
c12,9185.0,12182.0,17335.0,0,0,0,14248.7484165,13490.0,6439.10818343
c13,9930.0,7320.0,7265.0,0,0,0,16961.1124331,18770.0,20098.7507436
c14,8450.0,8160.0,7297.0,0,0,0,18146.2688442,17160.0,18588.2035176
c15,8267.0,7645.0,9345.0,0,0,0,19267.009544,20210.0,14101.9936373
c16,9867.0,9035.0,9332.0,0,0,0,13117.1403662,13530.0,12672.8247602
c17,8332.0,8772.0,9195.0,0,0,0,16403.1257176,15670.0,12903.9121699
c18,9440.0,7515.0,8865.0,0,0,0,15119.7481918,17140.0,13655.0656309
c19,9430.0,7645.0,6615.0,0,0,0,14366.1102159,14530.0,17929.5423783
c20,25340.0,30282.0,35600.0,0,0,0,698.445505618,609.9,495.025280899
c21,11112.0,19920.0,27150.0,0,0,0,6467.26647261,5060.0,1862.51918497
c22,9600.0,12017.0,14522.0,0,0,0,9716.66776226,8963.0,5869.77074774
d1,24892.0,29162.0,33865.0,0,0,0,1614.60463193,1667.0,1314.48028674
d2,25072.0,29552.0,35440.0,0,0,0,1582.53046409,1660.0,1061.33264195
d3,25445.0,30085.0,36580.0,0,0,0,1588.4334817,1675.0,878.505192878
d4,25222.0,29745.0,36880.0,0,0,0,1771.58262351,1867.0,905.101971283
d5,12785.0,14092.0,18935.0,0,0,0,7852.75951333,8170.0,5126.60626456
d6,12892.0,16010.0,26532.0,0,0,0,7731.9558308,8131.0,3139.14746436
d7,13255.0,17422.0,32768.0,0,0,0,7581.05595161,8071.0,1783.67530784
d8,13532.0,17947.0,35078.0,0,0,0,7487.87515502,8020.0,1069.22281935
d9,9430.0,9040.0,10122.0,0,0,0,15022.4101714,15560.0,12424.7761194
d10,9397.0,9487.0,12072.0,0,0,0,14954.9332635,15600.0,10272.0753729
d11,9375.0,10132.0,14202.0,0,0,0,14723.6377246,15420.0,8329.41616766
d12,9620.0,12150.0,23302.0,0,0,0,14469.8237394,15350.0,4428.27978581
d13,11027.0,7467.0,7277.0,0,0,0,14810.1086957,16920.0,19356.8478261
d14,8620.0,8977.0,7415.0,0,0,0,16347.5246225,14680.0,17166.8286277
d15,8267.0,8107.0,10750.0,0,0,0,18300.8244275,19210.0,11369.5826972
d16,11230.0,10665.0,11092.0,0,0,0,10065.2053597,10330.0,9695.09466939
d17,8577.0,10157.0,10975.0,0,0,0,14196.241074,12970.0,9880.31705227
d18,10547.0,8172.0,10387.0,0,0,0,12563.722966,14900.0,10898.7899073
d19,10655.0,8545.0,6830.0,0,0,0,11627.0943396,11540.0,16421.2418525
d20,14287.0,24327.0,31232.0,0,0,0,3926.20380148,3076.0,1118.17634636
d21,12530.0,14842.0,18657.0,0,0,0,6130.00053952,5944.0,3960.52872943
d22,9270.0,10782.0,13307.0,0,0,0,10538.8707519,10140.0,6455.19400589
e1,25445.0,29222.0,33960.0,0,0,0,1407.42179072,1544.0,1212.54800431
e2,25990.0,29450.0,35718.0,0,0,0,1315.63069307,1546.0,965.101980198
e3,26552.0,29877.0,37253.0,0,0,0,1261.59275598,1565.0,807.0269329
e4,26627.0,29530.0,37328.0,0,0,0,1370.7276068,1714.0,851.882406982
e5,19500.0,19877.0,26117.0,0,0,0,3912.51686559,4333.0,2997.34769071
e6,21055.0,21230.0,32190.0,0,0,0,3622.82933579,4349.0,2058.15221402
e7,22782.0,21765.0,35665.0,0,0,0,3175.94313968,4188.0,1263.99258344
e8,24060.0,21865.0,37648.0,0,0,0,3068.46971473,4292.0,1025.61860102
e9,11485.0,10932.0,12732.0,0,0,0,10563.4212696,11230.0,9066.70513877
e10,11730.0,11175.0,14405.0,0,0,0,10263.8896121,11280.0,7823.46263994
e11,12125.0,11612.0,16505.0,0,0,0,9676.59921027,10980.0,6441.13030602
e12,13692.0,13057.0,24060.0,0,0,0,8704.93621622,10890.0,3951.00972973
e13,12615.0,7750.0,7382.0,0,0,0,12802.1338655,15190.0,18645.8765735
e14,8865.0,10072.0,7715.0,0,0,0,14639.8727648,12430.0,15674.281293
e15,8352.0,8790.0,12977.0,0,0,0,17193.9618955,18040.0,8830.52271617
e16,12977.0,12592.0,13447.0,0,0,0,7529.6489083,7684.0,7156.07452693
e17,8875.0,11905.0,13095.0,0,0,0,12289.0324417,10660.0,7386.76721685
e18,12020.0,9012.0,12510.0,0,0,0,10194.8959366,12680.0,8542.34886026
e19,12402.0,9610.0,7052.0,0,0,0,9129.93922652,8837.0,14581.8637201
e20,11080.0,23010.0,32085.0,0,0,0,6434.84630839,4647.0,588.168759417
e21,13147.0,21710.0,31105.0,0,0,0,4750.84660622,4005.0,1057.9245283
e22,10112.0,15322.0,22515.0,0,0,0,8016.6317388,7048.0,2773.89015439
f1,26895.0,31390.0,36018.0,0,0,0,672.98500283,774.7,744.448556876
f2,27300.0,31380.0,36220.0,0,0,0,495.72192846,663.6,560.740279938
f3,27555.0,31620.0,37295.0,0,0,0,526.972400898,771.7,625.286711543
f4,27630.0,31412.0,37295.0,0,0,0,451.931165185,711.7,501.553673374
f5,24540.0,24240.0,28982.0,0,0,0,2040.2863673,2425.0,2055.28367841
f6,25840.0,24577.0,31540.0,0,0,0,1719.0386414,2426.0,1825.91877923
f7,26777.0,24780.0,34035.0,0,0,0,1311.0,2262.0,1427.0
f8,27247.0,24945.0,35973.0,0,0,0,1053.41581171,2262.0,1234.97646349
f9,11847.0,10580.0,11592.0,0,0,0,10025.6144307,10740.0,9504.96054115
f10,12520.0,10532.0,12030.0,0,0,0,9726.42303433,10870.0,9497.7076412
f11,13320.0,10462.0,12327.0,0,0,0,9151.00725222,10680.0,8855.53585818
f12,16047.0,10522.0,14097.0,0,0,0,7953.52323838,10610.0,7948.22088956
f13,14780.0,8032.0,7447.0,0,0,0,10665.917791,13160.0,17466.8340132
f14,9110.0,11197.0,7990.0,0,0,0,12931.5443038,10340.0,14124.477396
f15,8502.0,9535.0,15407.0,0,0,0,16328.1560953,17010.0,6770.30888941
f16,15482.0,15140.0,16685.0,0,0,0,5341.98951965,5471.0,5114.23027656
f17,9280.0,14027.0,15845.0,0,0,0,10450.3650298,8564.0,5294.46267386
f18,14160.0,10162.0,15257.0,0,0,0,8025.29273454,10590.0,6284.7778039
f19,14885.0,11052.0,7467.0,0,0,0,6978.71864952,6562.0,12833.8794212
f20,11602.0,14517.0,19330.0,0,0,0,6903.98126464,6633.0,3722.97189696
f21,9910.0,13812.0,20297.0,0,0,0,8878.60150376,8172.0,3430.60150376
f22,9290.0,11715.0,16195.0,0,0,0,10106.409874,9556.0,4909.45950116
g1,26522.0,29952.0,33705.0,0,0,0,817.542575713,961.1,1047.29097324
g2,26777.0,29675.0,33395.0,0,0,0,616.631853786,858.8,1016.00997969
g3,27215.0,29567.0,33640.0,0,0,0,531.98072842,863.2,1080.29962719
g4,27277.0,29490.0,33278.0,0,0,0,587.516193752,945.5,1176.92934938
g5,23027.0,20532.0,23057.0,0,0,0,2636.33266533,3110.0,3157.18866304
g6,24732.0,20112.0,22855.0,0,0,0,2327.80919932,3134.0,3436.54400909
g7,25797.0,19675.0,22707.0,0,0,0,1898.39362594,3006.0,3499.29661728
g8,26137.0,19652.0,22675.0,0,0,0,1740.27589158,3101.0,4006.0850214
g9,11987.0,10392.0,10995.0,0,0,0,10101.3341001,10840.0,10226.0034503
g10,12977.0,10195.0,10815.0,0,0,0,9498.54285714,10700.0,10372.8857143
g11,14022.0,10067.0,10720.0,0,0,0,8899.92598918,10520.0,10525.989183
g12,17335.0,9390.0,10142.0,0,0,0,7914.0,10620.0,11466.0
g13,17017.0,8310.0,7457.0,0,0,0,9107.18971061,11570.0,16525.3826367
g14,9407.0,12605.0,8225.0,0,0,0,11366.1390374,8468.0,12511.1627196
g15,8555.0,10442.0,18592.0,0,0,0,15004.0164309,15580.0,4970.52487449
g16,18295.0,18540.0,20405.0,0,0,0,3729.77677269,3785.0,3529.86868982
g17,9695.0,16495.0,19330.0,0,0,0,8909.14237192,6880.0,3684.39286725
g18,16377.0,11377.0,18817.0,0,0,0,6309.60683761,8816.0,4703.45299145
g19,17635.0,12855.0,7937.0,0,0,0,5352.95073892,4787.0,11297.5772503
g20,9962.0,12317.0,17315.0,0,0,0,9417.85973306,9173.0,4509.11508436
g21,10080.0,13567.0,22270.0,0,0,0,8966.88846611,8666.0,2975.91058264
g22,9100.0,14330.0,30592.0,0,0,0,11447.3333333,10850.0,1036.0
h1,26382.0,29740.0,32085.0,0,0,0,791.887424387,875.2,1119.28634193
h2,26735.0,29030.0,30380.0,0,0,0,684.165517241,831.6,1380.7862069
