patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,18833.0,17137.0,19298.0,17505.0,18940.0,19007.0,1540.8955500618047,1394.0,1372.8918417799753
a2,16700.0,18491.0,20043.0,15262.0,20714.0,19691.0,1756.6170755017522,1383.0,1266.244663905702
a3,15202.0,19706.0,21182.0,13603.0,22177.0,20742.0,1921.4401294498382,1375.0,1153.3980582524273
a4,14649.0,19771.0,20896.0,13061.0,22310.0,20509.0,2056.404567699837,1440.0,1201.8009787928222
a5,13219.0,12283.0,12914.0,12228.0,13913.0,12732.0,4144.716621253407,3701.0,3359.2485619134122
a6,11461.0,13692.0,13683.0,10330.0,15710.0,13400.0,4771.841049382716,3739.0,3029.2824074074074
a7,10186.0,15403.0,14538.0,8859.0,17909.0,14077.0,5314.166666666667,3682.0,2670.5
a8,8929.0,17540.0,15355.0,7313.0,20600.0,14685.0,5988.853114754098,3643.0,2312.4091803278693
a9,9721.0,6141.0,7527.0,9100.0,6844.0,7602.0,12155.556858147713,11980.0,10975.814771395075
a10,9208.0,6468.0,7806.0,8576.0,7264.0,7897.0,12713.780918727916,12000.0,10621.90812720848
a11,8743.0,6828.0,8141.0,8093.0,7682.0,8152.0,13202.674349881798,11930.0,10121.462765957447
a12,8358.0,7075.0,8284.0,7681.0,7999.0,8284.0,13693.376932223542,11940.0,9860.08323424495
a13,8343.0,3805.0,4968.0,7843.0,4151.0,5145.0,21174.61224489796,22170.0,21290.956268221573
a14,8199.0,3983.0,5108.0,7696.0,4386.0,5262.0,21130.78332840674,21480.0,20883.156961276974
a15,8218.0,3825.0,5060.0,7704.0,4165.0,5239.0,21783.44847605225,22590.0,21199.846153846156
a16,8234.0,3873.0,5040.0,7742.0,4246.0,5214.0,21326.09613130129,21970.0,21094.290738569758
a17,8114.0,3806.0,5057.0,7644.0,4144.0,5219.0,21655.848563968666,22410.0,20947.206266318542
a18,8126.0,3769.0,4960.0,7611.0,4122.0,5127.0,21686.702467343977,22510.0,21144.37155297533
a19,8431.0,3981.0,5041.0,7941.0,4414.0,5187.0,20181.76348547718,20830.0,20725.047421458214
a20,23181.0,21090.0,24615.0,21833.0,22969.0,24444.0,677.5345553076188,603.3,642.3404526617787
a21,14985.0,19694.0,24192.0,13342.0,21455.0,23895.0,1736.3969849246234,1221.0,651.8255985811408
a22,11333.0,19493.0,24137.0,9411.0,21291.0,23765.0,3086.121372031662,1944.0,669.0870712401055
b1,19232.0,17473.0,20660.0,17926.0,19061.0,20367.0,1469.4494680851064,1371.0,1210.9689716312057
b2,17546.0,18903.0,22947.0,16077.0,20556.0,22626.0,1616.661872615204,1361.0,1017.054886997358
b3,16134.0,20217.0,24775.0,14505.0,21961.0,24426.0,1779.3485697434385,1371.0,892.7065762312005
b4,15537.0,20460.0,25207.0,13885.0,22219.0,24832.0,1889.4983780595696,1421.0,880.0058979652016
b5,12979.0,12851.0,15118.0,11932.0,14211.0,14959.0,4135.860953461975,3702.0,2667.2468785471065
b6,11497.0,14610.0,17850.0,10276.0,16039.0,17642.0,4610.416082936396,3677.0,2015.189688988512
b7,10135.0,16885.0,21333.0,8582.0,18375.0,21064.0,5131.650182635572,3623.0,1425.1756111267212
b8,9095.0,19588.0,24587.0,7076.0,21316.0,24181.0,5745.689177489178,3593.0,1030.7191919191919
